Estado,lentes,anteojo,gafas,espejuelos
Aguascalientes,183,1,11,0
Baja California,490,12,20,1
Baja California Sur,166,4,12,0
Campeche,150,0,4,0
Chiapas,237,21,12,0
Chihuahua,363,28,20,0
Ciudad de México,3365,132,320,4
Coahuila de Zaragoza,391,7,27,0
Colima,85,3,4,0
Durango,127,1,7,0
México,1727,62,134,1
Guanajuato,572,10,29,3
Guerrero,194,5,10,0
Hidalgo,238,4,44,0
Jalisco,1301,24,66,0
Michoacán de Ocampo,262,7,19,0
Morelos,225,6,29,0
Nayarit,92,2,3,0
Nuevo León,1838,24,57,1
Oaxaca,169,7,26,0
Puebla,683,28,119,1
Querétaro,566,16,51,1
Quintana Roo,592,15,40,2
San Luis Potosí,344,10,18,0
Sinaloa,629,4,17,1
Sonora,771,11,56,1
Tabasco,450,4,26,1
Tamaulipas,472,3,19,0
Tlaxcala,75,1,13,0
Veracruz de Ignacio de la Llave,869,19,69,6
Yucatán,746,8,31,0
Zacatecas,167,3,10,0
Total,18539,482,1323,23
