Estado,hormiga,asquel,asquilin
Aguascalientes,35,0,0
Baja California,91,1,0
Baja California Sur,27,0,0
Campeche,42,0,0
Chiapas,58,0,0
Chihuahua,56,1,0
Ciudad de México,567,2,0
Coahuila de Zaragoza,47,18,0
Colima,14,0,1
Durango,18,7,0
México,260,0,0
Guanajuato,82,0,0
Guerrero,53,0,0
Hidalgo,31,0,0
Jalisco,192,0,17
Michoacán de Ocampo,35,0,0
Morelos,68,0,0
Nayarit,11,0,0
Nuevo León,284,2,0
Oaxaca,59,0,0
Puebla,129,0,0
Querétaro,126,0,0
Quintana Roo,101,0,0
San Luis Potosí,56,0,0
Sinaloa,90,0,0
Sonora,131,0,0
Tabasco,94,0,0
Tamaulipas,87,0,0
Tlaxcala,17,0,0
Veracruz de Ignacio de la Llave,180,0,0
Yucatán,140,0,0
Zacatecas,15,0,0
Total,3196,31,18
