Estado,Ocurrencias
Aguascalientes,38
Baja California,104
Baja California Sur,25
Campeche,10
Chiapas,54
Chihuahua,72
Ciudad de México,791
Coahuila,41
Colima,32
Durango,27
Estado de México,398
Guanajuato,80
Guerrero,80
Hidalgo,218
Jalisco,247
Michoacán,52
Morelos,86
Nayarit,18
Nuevo León,290
Oaxaca,42
Puebla,225
Querétaro,160
Quintana Roo,243
San Luis Potosí,399
Sinaloa,389
Sonora,119
Tabasco,117
Tamaulipas,104
Tlaxcala,22
Veracruz,233
Yucatán,80
Zacatecas,25
Total,4821
