Estado,Ocurrencias
Aguascalientes,35
Baja California,91
Baja California Sur,27
Campeche,42
Chiapas,58
Chihuahua,56
Ciudad de México,567
Coahuila,47
Colima,14
Durango,18
Estado de México,260
Guanajuato,82
Guerrero,53
Hidalgo,31
Jalisco,192
Michoacán,35
Morelos,68
Nayarit,11
Nuevo León,284
Oaxaca,59
Puebla,129
Querétaro,126
Quintana Roo,101
San Luis Potosí,56
Sinaloa,90
Sonora,131
Tabasco,94
Tamaulipas,87
Tlaxcala,17
Veracruz,180
Yucatán,140
Zacatecas,15
Total,3196
