Estado,Ocurrencias
Aguascalientes,136
Baja California,291
Baja California Sur,383
Campeche,190
Chiapas,274
Chihuahua,328
Ciudad de México,2333
Coahuila,371
Colima,107
Durango,139
Estado de México,1830
Guanajuato,385
Guerrero,248
Hidalgo,193
Jalisco,1555
Michoacán,188
Morelos,267
Nayarit,102
Nuevo León,1688
Oaxaca,260
Puebla,607
Querétaro,536
Quintana Roo,986
San Luis Potosí,227
Sinaloa,319
Sonora,622
Tabasco,383
Tamaulipas,522
Tlaxcala,72
Veracruz,956
Yucatán,899
Zacatecas,128
Total,17525
