Estado,esquite,trolelote,chasca,elote en vaso,vasolote,elote feliz,coctel de elote,elote desgranado
Aguascalientes,19,5,203,9,0,0,0,0
Baja California,45,2,2,15,2,0,0,0
Baja California Sur,9,0,4,2,0,0,0,0
Campeche,77,3,3,2,0,0,0,0
Chiapas,71,1,0,3,0,0,0,0
Chihuahua,39,0,5,28,1,0,0,0
Ciudad de México,951,16,24,50,6,0,0,0
Coahuila de Zaragoza,27,2,1,27,0,0,0,1
Colima,14,0,7,0,0,0,0,0
Durango,3,0,0,7,0,0,0,0
México,485,7,13,43,4,0,0,0
Guanajuato,96,1,8,17,3,0,0,0
Guerrero,89,0,0,3,0,0,0,0
Hidalgo,138,3,0,3,0,0,0,0
Jalisco,142,2,33,44,0,0,0,0
Michoacán de Ocampo,38,0,0,6,34,0,0,0
Morelos,68,0,1,4,1,0,0,0
Nayarit,6,0,0,5,0,0,0,0
Nuevo León,110,16,6,119,3,0,0,1
Oaxaca,116,0,3,4,1,0,0,0
Puebla,340,3,3,18,0,0,0,0
Querétaro,197,4,7,11,2,0,0,0
Quintana Roo,254,0,2,6,0,0,0,0
San Luis Potosí,30,13,1,7,0,0,0,0
Sinaloa,209,3,2,22,0,0,0,0
Sonora,34,0,2,12,0,0,1,0
Tabasco,178,1,0,9,0,0,0,0
Tamaulipas,43,55,2,16,0,0,0,0
Tlaxcala,21,0,0,1,0,0,0,0
Veracruz de Ignacio de la Llave,532,12,1,13,0,0,0,0
Yucatán,341,2,2,10,0,0,0,0
Zacatecas,20,1,7,7,0,0,0,0
Total,4742,152,342,523,57,0,1,2
