Estado,coche,automovil,carro,auto
Aguascalientes,191,31,395,452
Baja California,86,72,1955,952
Baja California Sur,67,27,502,306
Campeche,96,69,216,221
Chiapas,191,66,528,497
Chihuahua,94,42,1138,1412
Ciudad de México,4936,1460,6092,13810
Coahuila de Zaragoza,243,219,1271,999
Colima,78,11,174,160
Durango,95,65,452,301
México,1737,502,3753,6594
Guanajuato,649,148,1109,1343
Guerrero,178,61,438,380
Hidalgo,244,50,494,536
Jalisco,1648,467,3505,4159
Michoacán de Ocampo,213,34,549,501
Morelos,322,141,490,893
Nayarit,81,20,213,133
Nuevo León,1106,238,6591,3223
Oaxaca,182,64,312,496
Puebla,1092,402,1229,2745
Querétaro,800,166,1091,1809
Quintana Roo,600,81,833,1473
San Luis Potosí,535,81,791,719
Sinaloa,141,85,2853,735
Sonora,96,153,4054,1234
Tabasco,397,65,826,537
Tamaulipas,334,82,1416,602
Tlaxcala,76,21,101,165
Veracruz de Ignacio de la Llave,827,121,1498,1618
Yucatán,859,135,656,1561
Zacatecas,108,49,277,323
Total,18302,5228,45802,50889
