Estado,Ocurrencias
Aguascalientes,30
Baja California,144
Baja California Sur,34
Campeche,52
Chiapas,34
Chihuahua,102
Ciudad de México,827
Coahuila,79
Colima,9
Durango,19
Estado de México,372
Guanajuato,87
Guerrero,49
Hidalgo,36
Jalisco,242
Michoacán,38
Morelos,71
Nayarit,18
Nuevo León,364
Oaxaca,41
Puebla,107
Querétaro,95
Quintana Roo,159
San Luis Potosí,41
Sinaloa,62
Sonora,172
Tabasco,186
Tamaulipas,83
Tlaxcala,8
Veracruz,157
Yucatán,290
Zacatecas,28
Total,4036
