Estado,cobija,frazada,cobertor,cobija_FR,frazada_FR,cobertor_FR
Aguascalientes,60,3,18,74.07407407407408,3.7037037037037033,22.22222222222222
Baja California,222,0,16,93.27731092436974,0.0,6.722689075630252
Baja California Sur,52,2,5,88.13559322033898,3.389830508474576,8.47457627118644
Campeche,10,4,6,50.0,20.0,30.0
Chiapas,45,2,16,71.42857142857143,3.1746031746031744,25.396825396825395
Chihuahua,182,4,11,92.38578680203045,2.030456852791878,5.583756345177665
Ciudad de México,1118,69,151,83.5575485799701,5.15695067264574,11.285500747384155
Coahuila,114,4,21,82.01438848920863,2.877697841726619,15.107913669064748
Colima,17,1,3,80.95238095238095,4.761904761904762,14.285714285714285
Durango,70,0,14,83.33333333333334,0.0,16.666666666666664
Estado de México,607,21,82,85.49295774647887,2.9577464788732395,11.549295774647888
Guanajuato,203,10,32,82.85714285714286,4.081632653061225,13.061224489795919
Guerrero,28,0,5,84.84848484848484,0.0,15.151515151515152
Hidalgo,100,4,19,81.30081300813008,3.2520325203252036,15.447154471544716
Jalisco,410,11,69,83.6734693877551,2.2448979591836733,14.081632653061224
Michoacán,115,3,11,89.14728682170544,2.3255813953488373,8.527131782945736
Morelos,81,3,14,82.6530612244898,3.061224489795918,14.285714285714285
Nayarit,22,0,4,84.61538461538461,0.0,15.384615384615385
Nuevo León,428,25,160,69.82055464926592,4.078303425774878,26.101141924959215
Oaxaca,83,6,13,81.37254901960785,5.88235294117647,12.745098039215685
Puebla,238,16,35,82.35294117647058,5.536332179930796,12.110726643598616
Querétaro,208,9,32,83.53413654618474,3.614457831325301,12.851405622489958
Quintana Roo,79,2,18,79.7979797979798,2.0202020202020203,18.181818181818183
San Luis Potosí,113,4,21,81.88405797101449,2.898550724637681,15.217391304347828
Sinaloa,195,2,14,92.41706161137441,0.9478672985781991,6.6350710900473935
Sonora,310,7,13,93.93939393939394,2.1212121212121215,3.939393939393939
Tabasco,56,2,16,75.67567567567568,2.7027027027027026,21.62162162162162
Tamaulipas,154,3,42,77.38693467336684,1.507537688442211,21.105527638190953
Tlaxcala,49,6,8,77.77777777777779,9.523809523809524,12.698412698412698
Veracruz,211,10,51,77.57352941176471,3.6764705882352944,18.75
Yucatán,74,5,62,52.4822695035461,3.546099290780142,43.97163120567376
Zacatecas,63,2,4,91.30434782608695,2.898550724637681,5.797101449275362
Total,5717,240,986
