Estado,Ocurrencias
Aguascalientes,183
Baja California,490
Baja California Sur,166
Campeche,150
Chiapas,237
Chihuahua,363
Ciudad de México,3365
Coahuila,391
Colima,85
Durango,127
Estado de México,1727
Guanajuato,572
Guerrero,194
Hidalgo,238
Jalisco,1301
Michoacán,262
Morelos,225
Nayarit,92
Nuevo León,1838
Oaxaca,169
Puebla,683
Querétaro,566
Quintana Roo,592
San Luis Potosí,344
Sinaloa,629
Sonora,771
Tabasco,450
Tamaulipas,472
Tlaxcala,75
Veracruz,869
Yucatán,746
Zacatecas,167
Total,18539
