Estado,bolillo,birote,bolillo_FR,birote_FR
Aguascalientes,83,14,85.56701030927834,14.432989690721648
Baja California,85,41,67.46031746031747,32.53968253968254
Baja California Sur,19,11,63.33333333333333,36.666666666666664
Campeche,16,0,100.0,0.0
Chiapas,49,0,100.0,0.0
Chihuahua,66,8,89.1891891891892,10.81081081081081
Ciudad de México,1630,93,94.60243760882182,5.397562391178178
Coahuila,48,3,94.11764705882352,5.88235294117647
Colima,40,0,100.0,0.0
Durango,27,1,96.42857142857143,3.571428571428571
Estado de México,716,34,95.46666666666667,4.533333333333333
Guanajuato,239,9,96.37096774193549,3.6290322580645165
Guerrero,192,0,100.0,0.0
Hidalgo,72,6,92.3076923076923,7.6923076923076925
Jalisco,414,422,49.52153110047847,50.47846889952153
Michoacán,97,4,96.03960396039604,3.9603960396039604
Morelos,84,17,83.16831683168317,16.831683168316832
Nayarit,28,7,80.0,20.0
Nuevo León,410,17,96.01873536299766,3.9812646370023423
Oaxaca,69,3,95.83333333333334,4.166666666666666
Puebla,154,4,97.46835443037975,2.5316455696202533
Querétaro,199,8,96.1352657004831,3.864734299516908
Quintana Roo,122,4,96.82539682539682,3.1746031746031744
San Luis Potosí,131,10,92.90780141843972,7.092198581560284
Sinaloa,85,7,92.3913043478261,7.608695652173914
Sonora,54,81,40.0,60.0
Tabasco,86,0,100.0,0.0
Tamaulipas,81,4,95.29411764705881,4.705882352941177
Tlaxcala,30,1,96.7741935483871,3.225806451612903
Veracruz,188,1,99.47089947089947,0.5291005291005291
Yucatán,67,2,97.10144927536231,2.898550724637681
Zacatecas,46,1,97.87234042553192,2.127659574468085
Total,5627,813
