Estado,Ocurrencias
Aguascalientes,203
Baja California,2
Baja California Sur,4
Campeche,3
Chiapas,0
Chihuahua,5
Ciudad de México,24
Coahuila,1
Colima,7
Durango,0
Estado de México,13
Guanajuato,8
Guerrero,0
Hidalgo,0
Jalisco,33
Michoacán,0
Morelos,1
Nayarit,0
Nuevo León,6
Oaxaca,3
Puebla,3
Querétaro,7
Quintana Roo,2
San Luis Potosí,1
Sinaloa,2
Sonora,2
Tabasco,0
Tamaulipas,2
Tlaxcala,0
Veracruz,1
Yucatán,2
Zacatecas,7
Total,342
