Estado,Ocurrencias
Aguascalientes,31
Baja California,72
Baja California Sur,27
Campeche,69
Chiapas,66
Chihuahua,42
Ciudad de México,1460
Coahuila,219
Colima,11
Durango,65
Estado de México,502
Guanajuato,148
Guerrero,61
Hidalgo,50
Jalisco,467
Michoacán,34
Morelos,141
Nayarit,20
Nuevo León,238
Oaxaca,64
Puebla,402
Querétaro,166
Quintana Roo,81
San Luis Potosí,81
Sinaloa,85
Sonora,153
Tabasco,65
Tamaulipas,82
Tlaxcala,21
Veracruz,121
Yucatán,135
Zacatecas,49
Total,5228
