Estado,Ocurrencias
Aguascalientes,11
Baja California,46
Baja California Sur,7
Campeche,2
Chiapas,1
Chihuahua,22
Ciudad de México,59
Coahuila,38
Colima,6
Durango,7
Estado de México,23
Guanajuato,30
Guerrero,3
Hidalgo,3
Jalisco,53
Michoacán,4
Morelos,3
Nayarit,8
Nuevo León,125
Oaxaca,5
Puebla,10
Querétaro,5
Quintana Roo,3
San Luis Potosí,5
Sinaloa,38
Sonora,56
Tabasco,3
Tamaulipas,24
Tlaxcala,1
Veracruz,6
Yucatán,3
Zacatecas,5
Total,615
