Estado,cinturon,cinto,cinturon_FR,cinto_FR
Aguascalientes,20,11,64.51612903225806,35.483870967741936
Baja California,44,46,48.888888888888886,51.11111111111111
Baja California Sur,15,7,68.18181818181817,31.818181818181817
Campeche,12,2,85.71428571428571,14.285714285714285
Chiapas,29,1,96.66666666666667,3.3333333333333335
Chihuahua,32,22,59.25925925925925,40.74074074074074
Ciudad de México,588,59,90.88098918083463,9.119010819165378
Coahuila,37,38,49.333333333333336,50.66666666666667
Colima,5,6,45.45454545454545,54.54545454545454
Durango,19,7,73.07692307692307,26.923076923076923
Estado de México,269,23,92.12328767123287,7.876712328767123
Guanajuato,83,30,73.45132743362832,26.548672566371685
Guerrero,27,3,90.0,10.0
Hidalgo,19,3,86.36363636363636,13.636363636363635
Jalisco,214,53,80.14981273408239,19.850187265917604
Michoacán,31,4,88.57142857142857,11.428571428571429
Morelos,22,3,88.0,12.0
Nayarit,4,8,33.33333333333333,66.66666666666666
Nuevo León,152,125,54.87364620938629,45.12635379061371
Oaxaca,31,5,86.11111111111111,13.88888888888889
Puebla,107,10,91.45299145299145,8.547008547008547
Querétaro,89,5,94.68085106382979,5.319148936170213
Quintana Roo,76,3,96.20253164556962,3.79746835443038
San Luis Potosí,38,5,88.37209302325581,11.627906976744185
Sinaloa,37,38,49.333333333333336,50.66666666666667
Sonora,97,56,63.39869281045751,36.60130718954248
Tabasco,73,3,96.05263157894737,3.9473684210526314
Tamaulipas,48,24,66.66666666666666,33.33333333333333
Tlaxcala,9,1,90.0,10.0
Veracruz,113,6,94.9579831932773,5.042016806722689
Yucatán,81,3,96.42857142857143,3.571428571428571
Zacatecas,15,5,75.0,25.0
Total,2436,615
