Estado,Ocurrencias
Aguascalientes,76
Baja California,191
Baja California Sur,70
Campeche,80
Chiapas,221
Chihuahua,127
Ciudad de México,2134
Coahuila,162
Colima,30
Durango,84
Estado de México,995
Guanajuato,327
Guerrero,184
Hidalgo,114
Jalisco,1098
Michoacán,134
Morelos,146
Nayarit,58
Nuevo León,712
Oaxaca,166
Puebla,387
Querétaro,321
Quintana Roo,587
San Luis Potosí,162
Sinaloa,224
Sonora,184
Tabasco,159
Tamaulipas,217
Tlaxcala,55
Veracruz,505
Yucatán,370
Zacatecas,90
Total,10370
