Estado,Ocurrencias
Aguascalientes,2
Baja California,1
Baja California Sur,0
Campeche,0
Chiapas,0
Chihuahua,1
Ciudad de México,20
Coahuila,0
Colima,0
Durango,0
Estado de México,6
Guanajuato,2
Guerrero,2
Hidalgo,1
Jalisco,6
Michoacán,7
Morelos,1
Nayarit,0
Nuevo León,2
Oaxaca,1
Puebla,1
Querétaro,2
Quintana Roo,3
San Luis Potosí,1
Sinaloa,0
Sonora,0
Tabasco,0
Tamaulipas,1
Tlaxcala,0
Veracruz,14
Yucatán,4
Zacatecas,0
Total,78
