Estado,Ocurrencias
Aguascalientes,83
Baja California,85
Baja California Sur,19
Campeche,16
Chiapas,49
Chihuahua,66
Ciudad de México,1630
Coahuila,48
Colima,40
Durango,27
Estado de México,716
Guanajuato,239
Guerrero,192
Hidalgo,72
Jalisco,414
Michoacán,97
Morelos,84
Nayarit,28
Nuevo León,410
Oaxaca,69
Puebla,154
Querétaro,199
Quintana Roo,122
San Luis Potosí,131
Sinaloa,85
Sonora,54
Tabasco,86
Tamaulipas,81
Tlaxcala,30
Veracruz,188
Yucatán,67
Zacatecas,46
Total,5627
