Estado,Ocurrencias
Aguascalientes,50
Baja California,118
Baja California Sur,54
Campeche,44
Chiapas,64
Chihuahua,69
Ciudad de México,751
Coahuila,95
Colima,22
Durango,48
Estado de México,382
Guanajuato,186
Guerrero,78
Hidalgo,71
Jalisco,543
Michoacán,130
Morelos,69
Nayarit,57
Nuevo León,225
Oaxaca,84
Puebla,176
Querétaro,149
Quintana Roo,478
San Luis Potosí,73
Sinaloa,127
Sonora,167
Tabasco,216
Tamaulipas,71
Tlaxcala,13
Veracruz,244
Yucatán,235
Zacatecas,38
Total,5127
