Estado,Ocurrencias
Aguascalientes,395
Baja California,1955
Baja California Sur,502
Campeche,216
Chiapas,528
Chihuahua,1138
Ciudad de México,6092
Coahuila,1271
Colima,174
Durango,452
Estado de México,3753
Guanajuato,1109
Guerrero,438
Hidalgo,494
Jalisco,3505
Michoacán,549
Morelos,490
Nayarit,213
Nuevo León,6591
Oaxaca,312
Puebla,1229
Querétaro,1091
Quintana Roo,833
San Luis Potosí,791
Sinaloa,2853
Sonora,4054
Tabasco,826
Tamaulipas,1416
Tlaxcala,101
Veracruz,1498
Yucatán,656
Zacatecas,277
Total,45802
