Estado,Ocurrencias
Aguascalientes,1
Baja California,5
Baja California Sur,0
Campeche,1
Chiapas,1
Chihuahua,1
Ciudad de México,28
Coahuila,2
Colima,1
Durango,0
Estado de México,15
Guanajuato,2
Guerrero,2
Hidalgo,1
Jalisco,19
Michoacán,0
Morelos,1
Nayarit,2
Nuevo León,14
Oaxaca,2
Puebla,5
Querétaro,3
Quintana Roo,2
San Luis Potosí,1
Sinaloa,0
Sonora,6
Tabasco,4
Tamaulipas,1
Tlaxcala,1
Veracruz,3
Yucatán,6
Zacatecas,1
Total,131
