Estado,Ocurrencias
Aguascalientes,191
Baja California,86
Baja California Sur,67
Campeche,96
Chiapas,191
Chihuahua,94
Ciudad de México,4936
Coahuila,243
Colima,78
Durango,95
Estado de México,1737
Guanajuato,649
Guerrero,178
Hidalgo,244
Jalisco,1648
Michoacán,213
Morelos,322
Nayarit,81
Nuevo León,1106
Oaxaca,182
Puebla,1092
Querétaro,800
Quintana Roo,600
San Luis Potosí,535
Sinaloa,141
Sonora,96
Tabasco,397
Tamaulipas,334
Tlaxcala,76
Veracruz,827
Yucatán,859
Zacatecas,108
Total,18302
