Estado,Ocurrencias
Aguascalientes,19
Baja California,45
Baja California Sur,9
Campeche,77
Chiapas,71
Chihuahua,39
Ciudad de México,951
Coahuila,27
Colima,14
Durango,3
Estado de México,485
Guanajuato,96
Guerrero,89
Hidalgo,138
Jalisco,142
Michoacán,38
Morelos,68
Nayarit,6
Nuevo León,110
Oaxaca,116
Puebla,340
Querétaro,197
Quintana Roo,254
San Luis Potosí,30
Sinaloa,209
Sonora,34
Tabasco,178
Tamaulipas,43
Tlaxcala,21
Veracruz,532
Yucatán,341
Zacatecas,20
Total,4742
