Estado,Ocurrencias
Aguascalientes,60
Baja California,222
Baja California Sur,52
Campeche,10
Chiapas,45
Chihuahua,182
Ciudad de México,1118
Coahuila,114
Colima,17
Durango,70
Estado de México,607
Guanajuato,203
Guerrero,28
Hidalgo,100
Jalisco,410
Michoacán,115
Morelos,81
Nayarit,22
Nuevo León,428
Oaxaca,83
Puebla,238
Querétaro,208
Quintana Roo,79
San Luis Potosí,113
Sinaloa,195
Sonora,310
Tabasco,56
Tamaulipas,154
Tlaxcala,49
Veracruz,211
Yucatán,74
Zacatecas,63
Total,5717
