Tweet,Fecha,Estado,Locacion,Tipo,Longitud,Latitud,Poblacion
"@gaby_rmo Cañón, luego hay unos mosquitos más chiquitos conocidos como “chaquistes”, o chaquiste en singular, que p… https://t.co/dWlMOifZ1X",Thu Jun 11 04:33:29 +0000 2020,Campeche,Carmen,R,-91.6332875,18.4528265,2
@ximena_af LA HORA DEL CHAQUISTE,Sun Jun 14 03:30:18 +0000 2020,Oaxaca,Villa de Zaachila,R,-96.7046225,16.9272875,439
"Hoy no te pierdas en ""La Hora del Chaquiste, por @sinreservas620 la participación de la @Psic_FrynneCane con el tem… https://t.co/2a74wx7h0Z",Mon Jul 06 19:41:10 +0000 2020,Tabasco,Macuspana,R,-92.554062,17.9512585,37
Esa gente con complejo de chaquiste; no más están chingue y chingue.,Wed Jul 15 16:39:48 +0000 2020,Yucatán,Mérida,R,-89.62361100000001,20.941035,0
"""La hora del chaquiste "".",Mon Jul 27 00:07:12 +0000 2020,Veracruz de Ignacio de la Llave,Tres Valles,R,-96.156117,18.2913925,226
Cómo mierda puede vivir la gente en tux alv para ver chaquistes 😭,Sun Oct 25 14:58:36 +0000 2020,Oaxaca,San Juan Bautista Tuxtepec,R,-96.08363299999999,18.059159,5
"Ya no se que es más peor ¿si el mosquito o el chaquiste? 😣

Ya no aguanto la comezón.",Mon Nov 09 04:56:36 +0000 2020,Veracruz de Ignacio de la Llave,Puente Nacional,R,-96.564308,19.353661,0
Ya empezamos La Hora del Chaquiste con las noticias del día.,Thu Nov 12 23:38:00 +0000 2020,Tabasco,Nacajuca,R,-92.9164995,18.0219595,432
"Garrapatas, cucarachas, chinches, piojos, pulgas, jejenes, chaquistes, liendres, hormigas, ah y uno que otro insect… https://t.co/PLORpI6NEV",Fri Nov 13 02:05:06 +0000 2020,Puebla,Amozoc,R,-98.1542665,19.0322295,616
Ya empezó La Hora del Chaquiste a con las noticias que a ti te interesan.,Fri Nov 13 23:57:03 +0000 2020,Tabasco,Nacajuca,R,-92.9164995,18.0219595,432
Ya empezó La Hora del Chaquiste con las notas más importantes del dia,Mon Nov 16 23:21:26 +0000 2020,Tabasco,Nacajuca,R,-92.9164995,18.0219595,432
Ya empezamos La Hora del Chaquiste con las notas más importantes de hoy.,Wed Nov 25 23:43:07 +0000 2020,Tabasco,Nacajuca,R,-92.9164995,18.0219595,432
Mendigo chaquistes,Wed Dec 09 18:00:01 +0000 2020,Tamaulipas,Altamira,R,-98.082815,22.560886000000004,0
No saben lo agradecida que estuve de no sentir chaquistes,Tue Dec 15 04:44:18 +0000 2020,Nayarit,Bahía de Banderas,R,-105.2845295,20.835845,0
Necesito para la época del mosquito y el chaquiste,Sun Feb 28 02:05:54 +0000 2021,Tabasco,Nacajuca,R,-92.9164995,18.0219595,432
"Puedo soportar el calor pero no los mosquitos, el chaquiste, el tábano y el rodador 😩",Sun Mar 21 21:45:39 +0000 2021,Tabasco,Huimanguillo,R,-93.71282000000001,17.7624055,0
"Barrilitos ,que en mi pueblo les decimos chaquistes ,y muy quemada ,y uds que tal su fin",Mon Mar 22 03:45:35 +0000 2021,Jalisco,San Pedro Tlaquepaque,R,-103.34832399999999,20.592133,0
@LaTecaDeOro Hasta se te olvidan los chaquistes (no sé si este bien escrito) jajaja 😂🤣 ahora que vaya a Ixtepec ten… https://t.co/OnJNShzqQD,Wed Mar 24 04:21:19 +0000 2021,Ciudad de México,Tlalpan,R,-99.208364,19.199485,86
"Esta Tarde como cada Jueves, participaremos con el Lic Enrique Lodoza Muñiz en su programa  LA HORA DEL CHAQUISTE,… https://t.co/zfitT5wK1G",Thu Apr 29 20:04:43 +0000 2021,México,Nezahualcóyotl,R,-99.087817,19.4320755,0
Ya va a empezar el chaquiste.,Wed Jun 09 00:58:30 +0000 2021,Tabasco,Paraíso,R,-93.251014,18.3567945,467
@LaSirenah_ Chaquiste,Sun Jun 13 02:12:37 +0000 2021,Tabasco,Comalcalco,R,-93.341606,18.291262,1056
@Don_Susano Seguro que Irene no conoce Sisal ni sus chaquistes o Celestún y los tábanos... Ni una buena caminata en… https://t.co/EGpMc7HqUt,Fri Jun 18 02:43:22 +0000 2021,Yucatán,Dzemul,R,-89.36163950000001,21.25045,0
"Que bueno que no vivimos de la pesca, no agarramos más que chaquiste jaja",Mon Jun 21 02:47:43 +0000 2021,Veracruz de Ignacio de la Llave,Agua Dulce,R,-94.17138299999999,18.0902165,17
estoy empezando a odiar los piquetes de chaquiste😣 nunca me habían picado tan feo😭,Thu Jun 24 13:10:56 +0000 2021,Campeche,Carmen,R,-91.6332875,18.4528265,2
"La Participación de su servidor HOY 8 de Julio en 620 AM ""LA HORA DEL CHAQUISTE"" conducido por el Lic Enrique Lodoz… https://t.co/2R7lk43I6Y",Fri Jul 09 04:48:11 +0000 2021,México,Nezahualcóyotl,R,-99.087817,19.4320755,0
Los chaquistes me tienen loca ☹️😭,Mon Aug 02 23:40:37 +0000 2021,Veracruz de Ignacio de la Llave,Alvarado,R,-95.8132295,18.8352255,0
"LA CRISIS DEL PODER EJECUTIVO FEDERAL
Mi comentario hoy en 620am ""LA HORA DEL CHAQUISTE"" conducido por el LIC Enriq… https://t.co/KqU5bBiPzI",Fri Aug 13 04:13:31 +0000 2021,México,Nezahualcóyotl,R,-99.087817,19.4320755,0
Conocen el chaquiste? Malditos insectos,Sat Aug 14 12:35:02 +0000 2021,Tabasco,Centla,R,-92.6591545,18.3605885,371
"Yo, la de la del chaquiste",Thu Sep 02 19:22:22 +0000 2021,Chiapas,Reforma,R,-93.235548,17.865755,290
Ya voy pal paso a matar chaquistes,Tue Sep 07 12:24:50 +0000 2021,Veracruz de Ignacio de la Llave,Alvarado,R,-95.8132295,18.8352255,0
"@alejandrodelb Necesitas preguntarme a donde ir a comer, controlo esos lugares y cuidado con el Chaquiste",Thu Sep 09 12:55:56 +0000 2021,Coahuila de Zaragoza,Viesca,R,-103.23313,25.244222999999998,36
Alimento de chaquistes 😩 https://t.co/5jMLpO7N2k,Wed Dec 29 23:19:51 +0000 2021,Veracruz de Ignacio de la Llave,Minatitlán,R,-94.3909125,17.706791000000003,8
Que harto me tienen los zancudos y chaquistes pa la madreeeee,Thu Dec 30 01:03:36 +0000 2021,Veracruz de Ignacio de la Llave,Alvarado,R,-95.8132295,18.8352255,0
@VaniaPeredaa Otra cosa igual o hasta más provinciana son los chaquistes 🦟,Mon Jan 03 00:10:12 +0000 2022,Nuevo León,Apodaca,R,-100.27047400000001,25.736714999999997,0
"""LOS MERCADERES DEL CAOS""

Radio Acir ""La Hora del Chaquiste""
10 de Febrero de 2022

https://t.co/HPfpR4Dqfa",Fri Feb 11 03:06:06 +0000 2022,México,Nezahualcóyotl,R,-99.087817,19.4320755,0
@Nelsonjokers @AnaFriasPulido Fácil tenemos 4 variedades en la zona además de los chaquistes y los Tábanos,Sat May 14 06:49:13 +0000 2022,Veracruz de Ignacio de la Llave,Juan Rodríguez Clara,R,-95.3557545,17.974182,2
@GerardoOrtegon Dao con el chaquiste chao.,Wed Jul 06 20:56:31 +0000 2022,Yucatán,Mérida,R,-89.62361100000001,20.941035,0
Me mataron los chaquistes ayer y ya hoy me ando mudando al cielo,Thu Jul 07 12:52:38 +0000 2022,Tabasco,Huimanguillo,R,-93.71282000000001,17.7624055,0
"*El PERFIL CRIMINAL nace en la EDUCACIÓN DEL HOGAR*
#DiaDelAbogado
 Radio 620
 ""La Hora del Chaquiste""

https://t.co/rafwIs6fuZ",Sat Jul 16 00:15:33 +0000 2022,Tabasco,Nacajuca,R,-92.9164995,18.0219595,432
Pinches chaquistes !,Sat Aug 06 22:55:51 +0000 2022,Veracruz de Ignacio de la Llave,Xalapa,R,-96.886083,19.542054,0
"No tuve el bronceado esperado en Veracruz, pero que tal las mil ronchas que me dejaron los chaquistes... #noaguantolacomezon",Mon Aug 22 00:50:59 +0000 2022,Puebla,Amozoc,R,-98.1542665,19.0322295,616
@LetyLopezMusic Conoces el chaquiste tabasqueño?,Tue Oct 11 00:04:13 +0000 2022,Querétaro,Querétaro,R,-100.4405945,20.7152745,9
Comida por los chaquistes 😢,Tue Nov 01 17:57:28 +0000 2022,Campeche,Carmen,U,-91.83634,18.637725,191238
Comparto un fragmento de mi participación en radio Chaquiste de Tuxtepec. https://t.co/zFpFNQIk8w,Wed Nov 09 18:14:15 +0000 2022,Oaxaca,San Juan Bautista Tuxtepec,R,-96.08363299999999,18.059159,5
@bta_Demian Un chaquiste en Palacio Nacional,Tue Nov 15 12:52:54 +0000 2022,México,Toluca,U,-99.655676,19.284321499999997,33089
