Tweet,Fecha,Locacion,Longitud(V1),Latitud(V1),Longitud(V2),Latitud(V2),Longitud(V3),Latitud(V3),Longitud(V4),Latitud(V4)
"@gaby_rmo Cañón, luego hay unos mosquitos más chiquitos conocidos como “chaquistes”, o chaquiste en singular, que p… https://t.co/dWlMOifZ1X",Thu Jun 11 04:33:29 +0000 2020,"Carmen, Campeche",-92.468889,17.873531,-92.468889,19.032122,-90.797686,19.032122,-90.797686,17.873531
@ximena_af LA HORA DEL CHAQUISTE,Sun Jun 14 03:30:18 +0000 2020,"San Bartolo Coyotepec, Oaxaca",-96.756587,16.88219,-96.756587,16.972385,-96.652658,16.972385,-96.652658,16.88219
"Hoy no te pierdas en ""La Hora del Chaquiste, por @sinreservas620 la participación de la @Psic_FrynneCane con el tem… https://t.co/2a74wx7h0Z",Mon Jul 06 19:41:10 +0000 2020,"Tabasco, México",-94.130679,17.250791,-94.130679,18.651726,-90.977445,18.651726,-90.977445,17.250791
Esa gente con complejo de chaquiste; no más están chingue y chingue.,Wed Jul 15 16:39:48 +0000 2020,"Mérida, Yucatán",-89.798197,20.695104,-89.798197,21.186966,-89.449025,21.186966,-89.449025,20.695104
"""La hora del chaquiste "".",Mon Jul 27 00:07:12 +0000 2020,"Tres Valles, Veracruz de Ignacio de la Llave",-96.299556,18.161344,-96.299556,18.421441,-96.012678,18.421441,-96.012678,18.161344
Cómo mierda puede vivir la gente en tux alv para ver chaquistes 😭,Sun Oct 25 14:58:36 +0000 2020,"San Juan Bautista Tuxtepec, Oaxaca",-96.311441,17.799153,-96.311441,18.319165,-95.855825,18.319165,-95.855825,17.799153
"Ya no se que es más peor ¿si el mosquito o el chaquiste? 😣

Ya no aguanto la comezón.",Mon Nov 09 04:56:36 +0000 2020,Rinconada,-96.564308,19.353661,-96.564308,19.353661,-96.564308,19.353661,-96.564308,19.353661
Ya empezamos La Hora del Chaquiste con las noticias del día.,Thu Nov 12 23:38:00 +0000 2020,"Centro, Tabasco",-93.248341,17.7035,-93.248341,18.340419,-92.584658,18.340419,-92.584658,17.7035
"Garrapatas, cucarachas, chinches, piojos, pulgas, jejenes, chaquistes, liendres, hormigas, ah y uno que otro insect… https://t.co/PLORpI6NEV",Fri Nov 13 02:05:06 +0000 2020,"Puebla, México",-98.289206,18.83765,-98.289206,19.226809,-98.019327,19.226809,-98.019327,18.83765
Ya empezó La Hora del Chaquiste a con las noticias que a ti te interesan.,Fri Nov 13 23:57:03 +0000 2020,"Centro, Tabasco",-93.248341,17.7035,-93.248341,18.340419,-92.584658,18.340419,-92.584658,17.7035
Ya empezó La Hora del Chaquiste con las notas más importantes del dia,Mon Nov 16 23:21:26 +0000 2020,"Centro, Tabasco",-93.248341,17.7035,-93.248341,18.340419,-92.584658,18.340419,-92.584658,17.7035
Ya empezamos La Hora del Chaquiste con las notas más importantes de hoy.,Wed Nov 25 23:43:07 +0000 2020,"Centro, Tabasco",-93.248341,17.7035,-93.248341,18.340419,-92.584658,18.340419,-92.584658,17.7035
Mendigo chaquistes,Wed Dec 09 18:00:01 +0000 2020,"Altamira, Tamaulipas",-98.344297,22.320985,-98.344297,22.800787,-97.821333,22.800787,-97.821333,22.320985
No saben lo agradecida que estuve de no sentir chaquistes,Tue Dec 15 04:44:18 +0000 2020,"Bahía de Banderas, Nayarit",-105.610328,20.667221,-105.610328,21.004469,-104.958731,21.004469,-104.958731,20.667221
Necesito para la época del mosquito y el chaquiste,Sun Feb 28 02:05:54 +0000 2021,"Centro, Tabasco",-93.248341,17.7035,-93.248341,18.340419,-92.584658,18.340419,-92.584658,17.7035
"Puedo soportar el calor pero no los mosquitos, el chaquiste, el tábano y el rodador 😩",Sun Mar 21 21:45:39 +0000 2021,"Huimanguillo, Tabasco",-94.129786,17.312909,-94.129786,18.211902,-93.295854,18.211902,-93.295854,17.312909
"Barrilitos ,que en mi pueblo les decimos chaquistes ,y muy quemada ,y uds que tal su fin",Mon Mar 22 03:45:35 +0000 2021,"Tlaquepaque, Jalisco",-103.453231,20.539641,-103.453231,20.644625,-103.243417,20.644625,-103.243417,20.539641
@LaTecaDeOro Hasta se te olvidan los chaquistes (no sé si este bien escrito) jajaja 😂🤣 ahora que vaya a Ixtepec ten… https://t.co/OnJNShzqQD,Wed Mar 24 04:21:19 +0000 2021,"Tlalpan, Distrito Federal",-99.315748,19.087511,-99.315748,19.311459,-99.10098,19.311459,-99.10098,19.087511
"Esta Tarde como cada Jueves, participaremos con el Lic Enrique Lodoza Muñiz en su programa  LA HORA DEL CHAQUISTE,… https://t.co/zfitT5wK1G",Thu Apr 29 20:04:43 +0000 2021,"Venustiano Carranza, Distrito Federal",-99.128294,19.404352,-99.128294,19.459799,-99.04734,19.459799,-99.04734,19.404352
Ya va a empezar el chaquiste.,Wed Jun 09 00:58:30 +0000 2021,"Paraíso, Tabasco",-93.507543,18.270183,-93.507543,18.443406,-92.994485,18.443406,-92.994485,18.270183
@LaSirenah_ Chaquiste,Sun Jun 13 02:12:37 +0000 2021,"Comalcalco, Tabasco",-93.588606,18.155666,-93.588606,18.426858,-93.094606,18.426858,-93.094606,18.155666
