Tweet,Fecha,Estado,Locacion,Tipo,Longitud,Latitud,Poblacion
"PRONÓSTICO DEL TIEMPO PARA MAÑANA 23 DE ABRIL:

Soleado☀️ a medio nublado⛅ • mediana probabilidad de chubascos disp… https://t.co/26hZzFtWYW",Thu Apr 23 03:52:32 +0000 2020,México,Tecámac,R,-98.9903395,19.7051795,531
"Hoy en #Mty y zona metropolitana cerca del amanecer chubasco en sectores, durante el día soleado y muy caluroso.… https://t.co/FBxZtnGreJ",Thu Apr 23 11:22:15 +0000 2020,Nuevo León,Monterrey,U,-100.29359149999999,25.6417185,1142952
"#PronosticoDelTiempo para hoy en #Monterrey, temperatura máxima 35°C mínima 19°C, tormenta eléctrica y chubascos po… https://t.co/xfaTSMcGAw",Thu Apr 23 13:33:51 +0000 2020,Nuevo León,Monterrey,U,-100.29359149999999,25.6417185,1142952
"Lluvia y granizo en esta mañana en  #NL

Un chubasco se desarrolló la mañana de este jueves, tomando por sorpresa a… https://t.co/mVSCJQ7gdL",Thu Apr 23 15:54:23 +0000 2020,Nuevo León,Cadereyta Jiménez,R,-99.81495149999999,25.4824435,346
"Las próximas horas pueden presentarse chubascos o tormentas dispersas en la región, sin descartar caída de granizo.",Thu Apr 23 20:12:44 +0000 2020,México,Tecámac,R,-98.9903395,19.7051795,531
"⚠️ AVISO

Nubosidad con potencial de generar chubascos/tormentas aproximamdose desde el sur, atentos Tecámac y municipios vecinos.",Thu Apr 23 20:30:50 +0000 2020,México,Tecámac,R,-98.9903395,19.7051795,531
Tenemos chubascos 🌦️ ligeros en Tecámac.,Thu Apr 23 21:14:53 +0000 2020,México,Tecámac,R,-98.9903395,19.7051795,531
"Irónico, después después de los chubascos al amanecer, un rayo probablemente originó este incendio y otros en sierr… https://t.co/JdyhxwoEFe",Thu Apr 23 21:22:05 +0000 2020,Nuevo León,Apodaca,R,-100.27047400000001,25.736714999999997,0
"En #Yucatán, se prevé un día caluroso con probabilidad de lluvia moderada con chubascos por la tarde y actividad el… https://t.co/nZVXVUc0rZ",Sat Apr 25 14:05:06 +0000 2020,Yucatán,Mérida,R,-89.62361100000001,20.941035,0
Chubascos en el Valle de México. https://t.co/oPZL6oaGa2,Sat Apr 25 19:01:09 +0000 2020,México,Tecámac,R,-98.9903395,19.7051795,531
"Ya con chubascos y tormentas en Tecámac.

Maneja con precaución. https://t.co/uoaITPCQ21",Sat Apr 25 21:38:21 +0000 2020,México,Tecámac,R,-98.9903395,19.7051795,531
"@nelvaldez reporta lluvia y tormenta eléctrica al sur de la ciudad, chubasco aislado, corta duración y en algunos s… https://t.co/pL83u94L57",Thu Apr 02 00:29:41 +0000 2020,Nuevo León,Apodaca,R,-100.27047400000001,25.736714999999997,0
"Ligero y refrescante chubasco.

Tengan una estupenda noche,  mis amigos(as). en Calzada al Desierto de los Leones https://t.co/orJHV2IbaW",Fri Apr 03 03:09:20 +0000 2020,Ciudad de México,La Magdalena Contreras,U,-99.24800950000001,19.318042,246428
19:35 h - Chubascos ⛈️ en #Tecámac y alrededores.,Sat Apr 04 01:36:26 +0000 2020,México,Tecámac,R,-98.9903395,19.7051795,531
"@AlcaldiaMHmx
⚠️ INFORMA ⚠️

Se activa #AlertaAmarilla por desarrollo de zona de chubascos.

Sigue las siguientes r… https://t.co/A55300Xxk7",Sat Apr 04 03:03:19 +0000 2020,Ciudad de México,Miguel Hidalgo,U,-99.2115105,19.4299345,414470
