Tweet,Fecha,Locacion,Longitud(V1),Latitud(V1),Longitud(V2),Latitud(V2),Longitud(V3),Latitud(V3),Longitud(V4),Latitud(V4)
"Me puedo sentir ya fuertecito, si hoy en la sudada se me pegó la playera al chichero y se hizo el ""corazoncito"" o s… https://t.co/iNLkvv95Vs",Wed Apr 08 19:46:40 +0000 2020,"Arteaga, Coahuila de Zaragoza",-100.952378,25.13347,-100.952378,25.532881,-100.224244,25.532881,-100.224244,25.13347
@kardavqrosw Ya ando en chichero y me las agarro 😁😁😁,Mon Apr 13 23:45:58 +0000 2020,"Querétaro, Querétaro Arteaga",-100.596343,20.50317,-100.596343,20.927379,-100.284846,20.927379,-100.284846,20.50317
Perdón mamá por tener pezones y no querer usar chichero 24/7,Tue May 05 16:02:30 +0000 2020,"Angel R. Cabada, Veracruz de Ignacio de la Llave",-95.51269,18.467127,-95.51269,18.716513,-95.269493,18.716513,-95.269493,18.467127
"Y si no está bien chichona y trae mucho monedero y chingaderas en el chichero?
😢",Wed May 06 15:44:03 +0000 2020,"San Nicolás de los Garza, Nuevo León",-100.337498,25.702823,-100.337498,25.770607,-100.20345,25.770607,-100.20345,25.702823
"Amigas ustedes que todo lo saben, es más rápido sacar el celular de:
1 El chichero.
2 El pantalón.
3 La bolsa.
Todo… https://t.co/iiRRGOfAY1",Wed May 13 22:30:39 +0000 2020,"San Nicolás de los Garza, Nuevo León",-100.337498,25.702823,-100.337498,25.770607,-100.20345,25.770607,-100.20345,25.702823
"""Pelo malo"", ""negro con bata es chichero, ""hay que mejorar la raza"" son frases con las que nos criaron a muchos, y… https://t.co/uWPhatoICV",Mon Jun 01 21:33:28 +0000 2020,"Monterrey, Nuevo León",-100.421037,25.480538,-100.421037,25.802899,-100.166146,25.802899,-100.166146,25.480538
Me cala el chichero.,Thu Jun 25 15:04:25 +0000 2020,"Juárez, Chihuahua",-106.950638,31.120681,-106.950638,31.783867,-106.185378,31.783867,-106.185378,31.120681
Manden a la verga du psicólogo y vamod al chichero a fumarnos un blunt,Sat Jul 11 21:22:54 +0000 2020,"San Pedro Garza García, Nuevo León",-100.425188,25.583557,-100.425188,25.717018,-100.306878,25.717018,-100.306878,25.583557
"@Noruego_0ficial Peor, para las morras hay chicheros con relleno o cosas de esas y para los lampiños ni como...dice… https://t.co/1tq5IkKoP9",Sun Jul 19 23:02:17 +0000 2020,"Xochimilco, Distrito Federal",-99.160023,19.152878,-99.160023,19.319611,-99.003557,19.319611,-99.003557,19.152878
Ah ! No sabía cómo se llama la alcaldesa de Hermosillo ...pero mejor tapa bocas sin calzón y sin chichero Jajajaja!,Fri Jul 24 00:31:23 +0000 2020,"Cuautitlán, México",-99.189129,19.616118,-99.189129,19.740034,-99.137766,19.740034,-99.137766,19.616118
"Los tuiteros muchosfologüers también pueden dar RT a mi encuesta, ¿eeeeeeh?

Pero no fuera un chichero porque ni ha… https://t.co/AmwS6RCuTU",Fri Jul 24 01:53:30 +0000 2020,"Querétaro, Querétaro Arteaga",-100.596343,20.50317,-100.596343,20.927379,-100.284846,20.927379,-100.284846,20.50317
@tinnog @absalon78 @MtyOutOfContext Los Chicheros del HEB Gonzalitos....,Sun Jul 26 20:30:02 +0000 2020,"Guadalupe, Nuevo León",-100.274823,25.621688,-100.274823,25.731519,-100.117445,25.731519,-100.117445,25.621688
"@mpio_Leones @PacoDeMiguelF Jajajajajaja del sostén, del chichero!!",Fri Jul 31 01:52:47 +0000 2020,"León, Guanajuato",-101.833743,20.863352,-101.833743,21.332768,-101.369059,21.332768,-101.369059,20.863352
@Agustguerrero En cuanto te vendió los chicheros?,Sat Aug 01 21:53:46 +0000 2020,"Guadalajara, Jalisco",-103.408633,20.600585,-103.408633,20.752719,-103.263131,20.752719,-103.263131,20.600585
