Tweet,Fecha,Estado,Locacion,Tipo,Longitud,Latitud,Poblacion
"Me puedo sentir ya fuertecito, si hoy en la sudada se me pegó la playera al chichero y se hizo el ""corazoncito"" o s… https://t.co/iNLkvv95Vs",Wed Apr 08 19:46:40 +0000 2020,Coahuila de Zaragoza,Arteaga,R,-100.588311,25.3331755,3
@kardavqrosw Ya ando en chichero y me las agarro 😁😁😁,Mon Apr 13 23:45:58 +0000 2020,Querétaro,Querétaro,R,-100.4405945,20.7152745,9
Perdón mamá por tener pezones y no querer usar chichero 24/7,Tue May 05 16:02:30 +0000 2020,Veracruz de Ignacio de la Llave,Angel R. Cabada,R,-95.3910915,18.59182,12
"Y si no está bien chichona y trae mucho monedero y chingaderas en el chichero?
😢",Wed May 06 15:44:03 +0000 2020,Nuevo León,Apodaca,R,-100.27047400000001,25.736714999999997,0
"Amigas ustedes que todo lo saben, es más rápido sacar el celular de:
1 El chichero.
2 El pantalón.
3 La bolsa.
Todo… https://t.co/iiRRGOfAY1",Wed May 13 22:30:39 +0000 2020,Nuevo León,Apodaca,R,-100.27047400000001,25.736714999999997,0
"""Pelo malo"", ""negro con bata es chichero, ""hay que mejorar la raza"" son frases con las que nos criaron a muchos, y… https://t.co/uWPhatoICV",Mon Jun 01 21:33:28 +0000 2020,Nuevo León,Monterrey,U,-100.29359149999999,25.6417185,1142952
Me cala el chichero.,Thu Jun 25 15:04:25 +0000 2020,Chihuahua,Juárez,R,-106.568008,31.452274000000003,-
Manden a la verga du psicólogo y vamod al chichero a fumarnos un blunt,Sat Jul 11 21:22:54 +0000 2020,Nuevo León,San Pedro Garza García,R,-100.366033,25.650287499999997,2
"@Noruego_0ficial Peor, para las morras hay chicheros con relleno o cosas de esas y para los lampiños ni como...dice… https://t.co/1tq5IkKoP9",Sun Jul 19 23:02:17 +0000 2020,Ciudad de México,Xochimilco,R,-99.08179,19.236244499999998,123
Ah ! No sabía cómo se llama la alcaldesa de Hermosillo ...pero mejor tapa bocas sin calzón y sin chichero Jajajaja!,Fri Jul 24 00:31:23 +0000 2020,México,Cuautitlán,U,-99.1634475,19.678076,117995
"Los tuiteros muchosfologüers también pueden dar RT a mi encuesta, ¿eeeeeeh?

Pero no fuera un chichero porque ni ha… https://t.co/AmwS6RCuTU",Fri Jul 24 01:53:30 +0000 2020,Querétaro,Querétaro,R,-100.4405945,20.7152745,9
@tinnog @absalon78 @MtyOutOfContext Los Chicheros del HEB Gonzalitos....,Sun Jul 26 20:30:02 +0000 2020,Nuevo León,Guadalupe,R,-100.196134,25.6766035,28
"@mpio_Leones @PacoDeMiguelF Jajajajajaja del sostén, del chichero!!",Fri Jul 31 01:52:47 +0000 2020,Guanajuato,León,R,-101.601401,21.09806,3
@Agustguerrero En cuanto te vendió los chicheros?,Sat Aug 01 21:53:46 +0000 2020,Jalisco,Guadalajara,U,-103.335882,20.676651999999997,1385621
"Voy a ver a mi contador 

A ver si le gustan mis piernas y vengo sin chichero  jeje para que me de un besito en las… https://t.co/8PMZYazymC",Mon Sep 07 14:53:18 +0000 2020,Nuevo León,Monterrey,U,-100.29359149999999,25.6417185,1142952
@Agustguerrero Qué talla es el chichero? https://t.co/HxX64PBQ8Y,Thu Sep 10 14:29:14 +0000 2020,Guanajuato,León,R,-101.601401,21.09806,3
¡Buenas buenas! Ya tenemos la chicha del Chichero MX. Ven a disfrutarla☺️ https://t.co/jWFsTh9rL3,Sat Sep 26 18:09:33 +0000 2020,Ciudad de México,Álvaro Obregón,U,-99.175237,19.38442,759003
Así me voy a comprar un chichero. https://t.co/lhj2NE1qlR,Sat Oct 10 22:11:28 +0000 2020,Chihuahua,Juárez,R,-106.568008,31.452274000000003,-
"Ya me acordé por qué me gusta vivir acá, ando sin chichero y todo chido  ( . ) ( . ) ✌🏻",Mon Oct 19 23:38:50 +0000 2020,Quintana Roo,Felipe Carrillo Puerto,R,-88.0134815,19.749553,11
Ponerse el chichero de tu abuelita,Wed Dec 09 01:34:11 +0000 2020,Ciudad de México,Coyoacán,U,-99.15234000000001,19.328383000000002,614447
Jajajajajajajaja bye bye chichero,Wed Dec 23 19:41:48 +0000 2020,Ciudad de México,Cuauhtémoc,U,-99.153366,19.432836,545884
@yadiragris Que buenos chicheros!ojalá así debemos estén los pechos!!,Fri Jan 01 13:47:49 +0000 2021,Chihuahua,Chihuahua,R,-106.1628985,28.941865999999997,0
"@YessicaBrona Publicidad engañosa! Ahí se ve mucho chichero.

Qué feo que seas así 🙊",Fri Jan 01 22:10:37 +0000 2021,Nuevo León,San Pedro Garza García,R,-100.366033,25.650287499999997,2
"Pues sí yo fuera a una playa nudista no solo me quitaría el chichero y los pinches calzones, también me quitaría el… https://t.co/2j0Ue7uG76",Tue Jan 05 07:08:23 +0000 2021,Chihuahua,Juárez,R,-106.568008,31.452274000000003,-
"@Sekiresucitado Es el pinche Chente!
A ese vato hasta le avientan tangas y chicheros!",Thu Jan 21 00:22:46 +0000 2021,Puebla,San Andrés Cholula,R,-98.308599,19.022994,246
Me voy a quitar el chichero y me voy a echar a ver el teli📺como cualquier señora que llega cansada de una semana de… https://t.co/P72TTUWVm7,Sat Jan 23 01:41:11 +0000 2021,Chihuahua,Juárez,R,-106.568008,31.452274000000003,-
El chichero https://t.co/Otl446jgTp,Thu Feb 11 05:27:40 +0000 2021,Nuevo León,Apodaca,R,-100.27047400000001,25.736714999999997,0
