Tweet,Fecha,Locacion,Longitud(V1),Latitud(V1),Longitud(V2),Latitud(V2),Longitud(V3),Latitud(V3),Longitud(V4),Latitud(V4)
@flowerdudee Wey real me dio miedo esta super sociopata su trip suponiendo vergos de cosas de q mi ex???? Mi alcoba???? Miedo,Thu Apr 23 21:56:31 +0000 2020,"Guadalajara, Jalisco",-103.408633,20.600585,-103.408633,20.752719,-103.263131,20.752719,-103.263131,20.600585
"~ Necesito terminar está alcoba @pinturascomex "" Mi Color ""  Hielo [167-01] es el color perfecto para ""sentirme"" en… https://t.co/rANAQxkuXS",Fri Apr 24 19:06:19 +0000 2020,"Juárez, Chihuahua",-106.950638,31.120681,-106.950638,31.783867,-106.185378,31.783867,-106.185378,31.120681
Pon a trabajar la mejor versión de ti y Dios te dará la mejor vida. 💕 en Mi Alcoba https://t.co/jPigA9dgI4,Sat Apr 25 17:47:41 +0000 2020,"Álvaro Obregón, Distrito Federal",-99.324375,19.232228,-99.324375,19.403856,-99.171644,19.403856,-99.171644,19.232228
"Mía Colucci desde el ventanal de su alcoba disfrutando su baño de sol ☀️ 🐈 en Mexico City, Mexico https://t.co/m7hyCa98pB",Fri Apr 03 15:19:12 +0000 2020,"Cuauhtémoc, Distrito Federal",-99.18435,19.399835,-99.18435,19.465837,-99.122382,19.465837,-99.122382,19.399835
@kpauwells Qué tal si ya le expreso todo su amor y cariño en la 1er alcoba de la nación. #MañaneroCumpleañero.,Sun Apr 26 17:58:35 +0000 2020,"Chalco, México",-98.967727,19.158446,-98.967727,19.321661,-98.680905,19.321661,-98.680905,19.158446
"Ví como el foco de la alcoba de mi madrina se encendía y pasaba un a figura esbelta por el ventanal del balcon, así… https://t.co/dnkiPULbOC",Mon Apr 20 01:57:18 +0000 2020,"Mazatlán, Sinaloa",-106.619116,23.068553,-106.619116,23.867727,-105.924379,23.867727,-105.924379,23.068553
@Mikystoteles @ChinoBedolla @SimpsonitoMX No te he dicho que no pintes las paredes? A tu alcoba 😠 https://t.co/w432T0hh4Q,Tue Apr 21 03:35:22 +0000 2020,"Puebla, México",-98.289206,18.83765,-98.289206,19.226809,-98.019327,19.226809,-98.019327,18.83765
"Ese gol como lo grite 😍😍😍 estalle en emoción, desde aquel gol de alcoba en la final del 2015 no gritaba un gol de e… https://t.co/u9XuXu16GD",Thu May 07 00:56:32 +0000 2020,"Puebla, México",-98.289206,18.83765,-98.289206,19.226809,-98.019327,19.226809,-98.019327,18.83765
"@Daniel_Olalde06 Pintor de santos de alcoba, si tienes alma en el cuerpoooo, porque al pintar tus cuadros, te olvid… https://t.co/nHJ3xQDxZ3",Fri May 22 20:53:29 +0000 2020,"Monterrey, Nuevo León",-100.421037,25.480538,-100.421037,25.802899,-100.166146,25.802899,-100.166146,25.480538
"@O_LaraC Juan Antonio Alcoba, Macareno, torero sevillano de finales de los sesentas y setentas. El de la derecha se… https://t.co/ibAl2JPNRx",Sat May 23 23:00:18 +0000 2020,"Cuajimalpa de Morelos, Distrito Federal",-99.364536,19.232313,-99.364536,19.405081,-99.246625,19.405081,-99.246625,19.232313
Fui dueño de su alcoba y su almohada...,Sun May 24 00:15:54 +0000 2020,"Mérida, Yucatán",-89.798197,20.695104,-89.798197,21.186966,-89.449025,21.186966,-89.449025,20.695104
"Perdí tu aroma entre tantas alcobas que visité, pero tu imágen, de mi mente, jamás la pude sacar.",Sat May 30 15:07:41 +0000 2020,"Cuauhtémoc, Distrito Federal",-99.18435,19.399835,-99.18435,19.465837,-99.122382,19.465837,-99.122382,19.399835
@monsesaco tu alcoba.,Thu Jun 04 13:57:57 +0000 2020,"Boca del Río, Veracruz de Ignacio de la Llave",-96.150405,19.054575,-96.150405,19.231626,-96.047576,19.231626,-96.047576,19.054575
y ella fue la que me envió este este videoclip para que para que vea yo como se la pasa en tu trabajo a su alcoba t… https://t.co/fKGpzIwNjN,Fri Jun 12 17:23:58 +0000 2020,"Xalapa, Veracruz de Ignacio de la Llave",-96.971524,19.48425,-96.971524,19.599858,-96.800642,19.599858,-96.800642,19.48425
@sipr0r_DeltaUno @GabrielSanMx @Chairisterco La invitación desde la alcoba del palacio presidencial,Sat Jun 20 00:57:31 +0000 2020,"Ecatepec de Morelos, México",-99.118665,19.484399,-99.118665,19.652161,-98.970224,19.652161,-98.970224,19.484399
A diario te quiero como la paloma que todos los días se pasa a mi alcoba,Sat Jun 20 20:11:03 +0000 2020,"Guadalupe, Nuevo León",-100.274823,25.621688,-100.274823,25.731519,-100.117445,25.731519,-100.117445,25.621688
Ordenó mis pensamientos después ordenó mi alcoba https://t.co/PRWO2W85ZN,Tue Jun 23 16:53:05 +0000 2020,"Corregidora, Querétaro Arteaga",-100.508629,20.361791,-100.508629,20.595719,-100.370833,20.595719,-100.370833,20.361791
"@Oswaltol1 Ash que aburrido, en la alcoba es lo que prende 🤔",Wed Jun 24 22:41:11 +0000 2020,"Benito Juárez, Quintana Roo",-87.322724,20.734206,-87.322724,21.363232,-86.740605,21.363232,-86.740605,20.734206
es alcobas alcoba de mi primita nació Ortega a mí sí me llamó la atención a Olguita no le gustó y eso amiga no manc… https://t.co/F4tBkwqR8U,Fri Jun 26 17:45:51 +0000 2020,"Xalapa, Veracruz de Ignacio de la Llave",-96.971524,19.48425,-96.971524,19.599858,-96.800642,19.599858,-96.800642,19.48425
@knappita Jajajaja!!! Francisco González Bocanegra no fue encerrado en su alcoba por su novia para que escribiera e… https://t.co/a4uHxeVEgz,Tue Jun 30 21:28:21 +0000 2020,"León, Guanajuato",-101.833743,20.863352,-101.833743,21.332768,-101.369059,21.332768,-101.369059,20.863352
"@007Lola_Mento La Zopi Ni Repostera, Pero Si Hizo Más Famosa con su Chocoflan, Que Con el Viejito que Comparte la Alcoba",Wed Jul 01 23:12:00 +0000 2020,"Veracruz, Veracruz de Ignacio de la Llave",-96.340535,19.102814,-96.340535,19.265092,-96.118258,19.265092,-96.118258,19.102814
"Activista (de alcoba) de Palacio Nacional...

Cargo no oficial con canonjías plenipotenciarias, exento de obligacio… https://t.co/39HvZAKSTY",Fri Jul 03 15:26:14 +0000 2020,"Culiacán, Sinaloa",-107.806281,24.028162,-107.806281,25.296815,-106.877832,25.296815,-106.877832,24.028162
Buena respuesta del Emperador a la Emperatriz !!!! Siguen los pleitos de alcoba 😂😂😂😂,Mon Jul 06 06:42:07 +0000 2020,"Comonfort, Guanajuato",-100.987287,20.646971,-100.987287,20.830957,-100.615509,20.830957,-100.615509,20.646971
