Tweet,Fecha,Locacion,Longitud(V1),Latitud(V1),Longitud(V2),Latitud(V2),Longitud(V3),Latitud(V3),Longitud(V4),Latitud(V4)
"@evrrdsk @MBarbosaMX @SaludGobPue @JorgeHumbertoU Jajaja puro totole en mole 
https://t.co/JIkYWlQYbv",Wed Apr 01 20:11:06 +0000 2020,"Puebla, México",-98.289206,18.83765,-98.289206,19.226809,-98.019327,19.226809,-98.019327,18.83765
@Viri_Rios @FelipeCalderon Y quiere que vendamos más gallinas y totoles,Mon Apr 06 05:13:50 +0000 2020,"San Pedro Cholula, Puebla",-98.407463,19.028795,-98.407463,19.119652,-98.260682,19.119652,-98.260682,19.028795
"Pa todo mal... #Mezcal 🤤
Pa todo bien... También 🤤
"@Manzanares_E totoles ahí compraba mi Hermosa Abue, también gallinas que vendían en la banqueta las personas que venían del rancho 😍",Sun Apr 12 13:10:12 +0000 2020,"Veracruz, Veracruz de Ignacio de la Llave",-96.340535,19.102814,-96.340535,19.265092,-96.118258,19.265092,-96.118258,19.102814
"@hollyradio hola Holly, cómo se dice se tapó la pichancha y mañana comeremos totol?",Mon May 04 15:09:40 +0000 2020,"Tijuana, Baja California",-117.298421,32.098292,-117.298421,32.567461,-116.559783,32.567461,-116.559783,32.098292
"Guan (one) mezcal! 🤤🤤😍🤩
@DannFonseka Por qué totol?,Tue May 26 05:01:47 +0000 2020,"Delicias, Chihuahua",-105.679033,27.967886,-105.679033,28.2761,-105.350061,28.2761,-105.350061,27.967886
Quiero que alguien venga a decirle a Silvia que no se puede ser feliz en Cuarentena 😉 en Totol ink Art Belial -Tint… https://t.co/X73i1c2iEZ,Fri May 29 01:32:51 +0000 2020,"Toluca, México",-99.782579,19.076393,-99.782579,19.49225,-99.528773,19.49225,-99.528773,19.076393
"Logre qué sé lo puniera un ratito jejejeje

"Neta que mi #México necesita, le urge, en chinga una buena pero con huevo de totol albino y virgen...

Puee... 😷",Fri Jun 05 16:13:33 +0000 2020,Hospital Ángeles Mocel,-99.184817,19.41099,-99.184817,19.41099,-99.184817,19.41099,-99.184817,19.41099
Mis amigas me hacen bullying porque una vez (de idiota) les conté que de chiquita los totoles de mi abuela me perseguían y les tenía miedo.,Thu Jun 18 04:47:23 +0000 2020,"Monterrey, Nuevo León",-100.421037,25.480538,-100.421037,25.802899,-100.166146,25.802899,-100.166146,25.480538
@AlexRihu90 @El_Universal_Mx Ya eres aporofobico? Has de ser de la familia real britanica pinche totol,Thu Jun 18 15:24:08 +0000 2020,"Poza Rica de Hidalgo, Veracruz de Ignacio de la Llave",-97.491275,20.491796,-97.491275,20.581222,-97.403714,20.581222,-97.403714,20.491796
@Ooscar74 Mejor un totol,Thu Jun 18 23:04:33 +0000 2020,"Puebla, México",-98.289206,18.83765,-98.289206,19.226809,-98.019327,19.226809,-98.019327,18.83765
A mi de chiquita me correteaban los totoles y les tenía miedo jaja pero a mi hermano un pavorreal le robó un sándwich jajajajaa,Fri Jun 19 05:06:03 +0000 2020,"Monterrey, Nuevo León",-100.421037,25.480538,-100.421037,25.802899,-100.166146,25.802899,-100.166146,25.480538
