Tweet,Fecha,Estado,Locacion,Tipo,Longitud,Latitud,Poblacion

— Ordaz, en la erizisíma.",Tue Apr 21 23:15:10 +0000 2020,Hidalgo,Mineral de la Reforma,U,-98.77580800000001,20.1056375,5108
"🤗 Sabemos que tu habitación es donde más pasas tiempo en esta cuarentena  😷

🏠Te dejamos 10 ideas que te ayudarán a… https://t.co/Pqwhae2X9l",Wed Apr 22 01:20:59 +0000 2020,Jalisco,Guadalajara,U,-103.335882,20.676651999999997,1385621
"¿Qué se creerá esa gente que presume su súper “habitación” y su closet no tiene ni puertas?

Chale...",Wed Apr 22 04:39:22 +0000 2020,San Luis Potosí,San Luis Potosí,R,-100.955511,22.3111195,18
"Salir del agua pero no podía, algo me jalaba los pies y nunca podía alcanzar salir, otros sueños eran en habitación… https://t.co/PeJpV2CTbO",Wed Apr 22 05:10:53 +0000 2020,Campeche,Carmen,R,-91.6332875,18.4528265,2
No puedo dormir... Hay un mosquito muy veloz en mi habitación y muy ruidos para variar 🙄😒,Wed Apr 22 07:44:33 +0000 2020,Querétaro,Querétaro,R,-100.4405945,20.7152745,9
"#SeguridadPrimero  

"Hermosa residencia en Marina el Cid Vivar
Construcción: 420 M2
Terreno: 505 M2
Habitaciones: 4
Baños Completos: 5
E… https://t.co/1qKTBesl1J",Wed Apr 22 14:19:57 +0000 2020,Sinaloa,Mazatlán,R,-106.2717475,23.46814,0
"@LuisGarcia08 3 minutos en la habitación del tiempo, oh",Wed Apr 22 14:42:35 +0000 2020,Nuevo León,Guadalupe,R,-100.196134,25.6766035,28
@CelinAcapulco están abiertos precio de habitación?,Wed Apr 22 16:22:25 +0000 2020,Guerrero,Acapulco de Juárez,R,-99.73564950000001,16.9589495,5
imaginen EL TUFO de esa habitación,Wed Apr 22 16:41:08 +0000 2020,Jalisco,Guadalajara,U,-103.335882,20.676651999999997,1385621
"@CFE_Contigo  Gracias por el apoyo CFE, no tenemos ingresos pero si debo pagar esto por una casita de 2 habitaciones https://t.co/i5GuxiY6Y6",Wed Apr 22 19:36:45 +0000 2020,Oaxaca,San Pedro Mixtepec,R,-97.0558365,15.942708,89
"#TownHouses en #RENTA ‼
🔹️Dos Habitaciones 
🔸️Dos Baños Completos 
🔹️Baño de Visitas
✔ UBICACIÓN PRIVILEGIADA 👌🏻

I… https://t.co/T473QHEVth",Wed Apr 22 21:20:54 +0000 2020,Yucatán,Mérida,R,-89.62361100000001,20.941035,0
"@4kMachina Excelentes reviews. Que me recomiendas en 55"" para una habitación con mucha luz natural de 4 x 4 metros… https://t.co/arGaJ1590N",Wed Apr 22 21:44:28 +0000 2020,Baja California,Playas de Rosarito,R,-116.929102,32.3328765,5
"Siguiente // antes
"🔖 Se renta departamento en el centro de #PuertoVallarta ✔️

▶️ 2 habitaciones con ventilador de techo, 1 baño, sala… https://t.co/dAkgYkFMiP",Wed Apr 22 23:04:51 +0000 2020,Jalisco,Mascota,R,-105.14858050000001,20.697052499999998,0
"Uno entra, un timbre avisa a recepción que alguien quiere una habitación, una pantalla te dice a cual entrar y abre… https://t.co/9CAod4R4ko",Thu Apr 23 06:53:24 +0000 2020,Veracruz de Ignacio de la Llave,Emiliano Zapata,R,-96.7223325,19.455647499999998,56
"Vamo’ hacerlo como antes, te espero en mi habitación, quiero que hagas que yo pierda el control.",Thu Apr 23 07:35:29 +0000 2020,Oaxaca,San Juan Bautista Tuxtepec,R,-96.08363299999999,18.059159,5
