Tweet,Fecha,Estado,Locacion,Tipo,Longitud,Latitud,Poblacion
@ppfabregat Todo está en línea... curva...😂 *se sacude la boronas de la pijama de vochitos*,Fri Apr 24 16:37:34 +0000 2020,San Luis Potosí,San Luis Potosí,R,-100.955511,22.3111195,18
"No se si estoy loco o qué pero me estresan muchísimo las boronas que caen de las galletas o de la comida, no puedo con la vida",Thu May 21 16:00:13 +0000 2020,Nuevo León,Monterrey,U,-100.29359149999999,25.6417185,1142952
"@CrashTestBobby Estos no se esparcieron y me la dieron en bolsa de papel, toda ahora llena de boronas de brownies.",Thu Jun 04 19:56:10 +0000 2020,Veracruz de Ignacio de la Llave,Xalapa,R,-96.886083,19.542054,0
@talipurpura No solo al ritmo encima de humillarsele también le aplauden raza sin amor propio ni dignidad vendidos por unas boronas,Thu Jun 18 04:59:55 +0000 2020,Michoacán de Ocampo,Nuevo Parangaricutiro,R,-102.1675635,19.439252,0
@JuanTatachun @gavinci7 @4EverSugus @GustavoVela71 A huevo. Hasta 2 veces!!! Se saca las boronas del higiénico....,Fri Jun 19 16:04:39 +0000 2020,Querétaro,Querétaro,R,-100.4405945,20.7152745,9
"Consigue alpiste o boronas de un pan 🥖, riégalo en el suelo y espera a que la magia suceda. No olvides limpiar ante… https://t.co/NG13h3KiTx",Thu Jun 25 20:55:05 +0000 2020,Puebla,Amozoc,R,-98.1542665,19.0322295,616
"I'm at Borona in Ciudad de México, CDMX https://t.co/LnputiXzNT https://t.co/OQx0DYGKNL",Tue Aug 04 22:53:23 +0000 2020,Ciudad de México,Cuauhtémoc,U,-99.153366,19.432836,545884
"Buenos días Gente!!! Recuerden Siempre levantarse con una sonrisa, así como la borona!😂😂 https://t.co/4TUTvFiEm8",Wed Aug 05 12:47:24 +0000 2020,Michoacán de Ocampo,Zacapu,R,-101.84589650000001,19.8297035,0
@chefyolo Boronas.,Wed Aug 12 20:32:52 +0000 2020,Guanajuato,Irapuato,R,-101.3403935,20.673542,23
"@Edithcomart Elimínalos, que no quede ni una borona de  ellos... 
🎶que no quede huella, 🎶que no, que no... 🎶que no quede hueeeella🎶",Thu Oct 22 02:44:57 +0000 2020,Nuevo León,Apodaca,R,-100.1687175,25.778679,1879
"@CandyFG Ciudadano del mundo: Migajas!
Morusas lo había escuchado, pero boronas? No serán moronas? 🤔
En todo caso, migajas.",Thu Dec 10 13:47:16 +0000 2020,Morelos,Cuernavaca,R,-99.260819,18.933812,78
@monicallmayorga Lady Boronas estoy muy enojado contigo.,Wed Dec 30 23:52:41 +0000 2020,Aguascalientes,Aguascalientes,R,-102.327207,21.849459000000003,0
"Nuestro #QuesoCrema #Borona y #Crema son totalmente artesanales, 100% puros de leche de vaca y preparándolos en… https://t.co/pjKrwhjJeQ",Fri Jan 29 19:40:07 +0000 2021,Veracruz de Ignacio de la Llave,Xalapa,R,-96.886083,19.542054,0
@arit7 @SRafaelVer @JorgeFaibre Sólo hacemos #QuesoCrema y de #Borona (totalmente diferentes al fresco) estos son t… https://t.co/W6gMtL5xSo,Sat Jan 30 05:25:08 +0000 2021,Veracruz de Ignacio de la Llave,Xalapa,R,-96.886083,19.542054,0
"Cuando te tocan las boronas en Morelia, Mexico https://t.co/73dFwb4RzO",Thu Mar 04 05:00:47 +0000 2021,Michoacán de Ocampo,Morelia,R,-101.27577,19.652724,84
El borona bowl muy ameno,Wed Mar 24 17:36:24 +0000 2021,Jalisco,Guadalajara,U,-103.335882,20.676651999999997,1385621
Buenísimo el licuado borona amooo,Thu Mar 25 16:10:43 +0000 2021,Jalisco,Guadalajara,U,-103.335882,20.676651999999997,1385621
@catpow3r yo de plano lo que hago es que les dejo boronas o croquetas pisadas pero en la mera entrada de la casa po… https://t.co/pMJfOuSHOs,Fri Apr 16 19:03:54 +0000 2021,México,Texcoco,R,-98.787435,19.468545499999998,2725
"Deli sandwich prueben Buchón (@ Borona in Ciudad de México, CDMX) https://t.co/G4MmYLgXrH",Sat Jun 05 22:45:49 +0000 2021,Ciudad de México,Cuauhtémoc,U,-99.153366,19.432836,545884
@pajarockstar Pero es q así le digo.. Ay bueno boronas jajaa,Sat Jun 26 20:45:18 +0000 2021,Guerrero,Acapulco de Juárez,R,-99.73564950000001,16.9589495,5
"Así es como producimos nuestro queso crema, borona y crema 100% naturales. Tradición de más de 65 años y siempre de… https://t.co/NS8CueduvL",Sun Aug 08 23:17:11 +0000 2021,Veracruz de Ignacio de la Llave,Banderilla,R,-96.92062,19.561035,16
"@bonitafeliz100 Jajajaja la Neolengua de 1984...

Pongamos entonces ALJIBER...de aljibe

O boronas de pedazos de pan...",Fri Sep 03 17:00:25 +0000 2021,Michoacán de Ocampo,Nuevo Parangaricutiro,R,-102.1675635,19.439252,0
