Estado,cobija,frazada,TOTAL,cobija_FR,frazada_FR
Aguascalientes,60,3,63,95.23809524,4.761904762
Baja California,222,0,222,100,0
Baja California Sur,52,2,54,96.2962963,3.703703704
Campeche,10,4,14,71.42857143,28.57142857
Chiapas,45,2,47,95.74468085,4.255319149
Chihuahua,182,4,186,97.84946237,2.150537634
Ciudad de México,1118,69,1187,94.18702612,5.812973884
Coahuila de Zaragoza,114,4,118,96.61016949,3.389830508
Colima,17,1,18,94.44444444,5.555555556
Durango,70,0,70,100,0
México,607,21,628,96.65605096,3.343949045
Guanajuato,203,10,213,95.30516432,4.694835681
Guerrero,28,0,28,100,0
Hidalgo,100,4,104,96.15384615,3.846153846
Jalisco,410,11,421,97.3871734,2.612826603
Michoacán de Ocampo,115,3,118,97.45762712,2.542372881
Morelos,81,3,84,96.42857143,3.571428571
Nayarit,22,0,22,100,0
Nuevo León,428,25,453,94.4812362,5.518763797
Oaxaca,83,6,89,93.25842697,6.741573034
Puebla,238,16,254,93.7007874,6.299212598
Querétaro,208,9,217,95.85253456,4.147465438
Quintana Roo,79,2,81,97.5308642,2.469135802
San Luis Potosí,113,4,117,96.58119658,3.418803419
Sinaloa,195,2,197,98.98477157,1.015228426
Sonora,310,7,317,97.79179811,2.208201893
Tabasco,56,2,58,96.55172414,3.448275862
Tamaulipas,154,3,157,98.08917197,1.910828025
Tlaxcala,49,6,55,89.09090909,10.90909091
Veracruz de Ignacio de la Llave,211,10,221,95.47511312,4.524886878
Yucatán,74,5,79,93.67088608,6.329113924
Zacatecas,63,2,65,96.92307692,3.076923077
Total,5717,240,5957,95.97112641,4.028873594
