Estado,habitacion,alcoba,dormitorio,recamara,TOTAL,habitacion_FR,alcoba_FR,dormitorio_FR,recamara_FR
Aguascalientes,76,7,3,38,124,61.29032258,5.64516129,2.419354839,30.64516129
Baja California,191,6,9,104,310,61.61290323,1.935483871,2.903225806,33.5483871
Baja California Sur,70,3,1,25,99,70.70707071,3.03030303,1.01010101,25.25252525
Campeche,80,2,5,10,97,82.4742268,2.06185567,5.154639175,10.30927835
Chiapas,221,2,2,54,279,79.21146953,0.716845878,0.716845878,19.35483871
Chihuahua,127,4,2,72,205,61.95121951,1.951219512,0.975609756,35.12195122
Ciudad de México,2134,56,68,791,3049,69.99016071,1.83666776,2.230239423,25.94293211
Coahuila de Zaragoza,162,8,13,41,224,72.32142857,3.571428571,5.803571429,18.30357143
Colima,30,1,2,32,65,46.15384615,1.538461538,3.076923077,49.23076923
Durango,84,1,2,27,114,73.68421053,0.877192982,1.754385965,23.68421053
México,995,29,37,398,1459,68.19739548,1.987662783,2.53598355,27.27895819
Guanajuato,327,8,7,80,422,77.48815166,1.895734597,1.658767773,18.95734597
Guerrero,184,7,5,80,276,66.66666667,2.536231884,1.811594203,28.98550725
Hidalgo,114,5,2,218,339,33.62831858,1.474926254,0.589970501,64.30678466
Jalisco,1098,18,25,247,1388,79.10662824,1.296829971,1.801152738,17.79538905
Michoacán de Ocampo,134,1,1,52,188,71.27659574,0.531914894,0.531914894,27.65957447
Morelos,146,5,0,86,237,61.60337553,2.109704641,0,36.28691983
Nayarit,58,0,1,18,77,75.32467532,0,1.298701299,23.37662338
Nuevo León,712,14,16,290,1032,68.99224806,1.356589147,1.550387597,28.10077519
Oaxaca,166,2,12,42,222,74.77477477,0.900900901,5.405405405,18.91891892
Puebla,387,12,23,225,647,59.81452859,1.854714065,3.554868624,34.77588872
Querétaro,321,5,7,160,493,65.11156187,1.014198783,1.419878296,32.45436105
Quintana Roo,587,10,8,243,848,69.22169811,1.179245283,0.943396226,28.65566038
San Luis Potosí,162,2,5,399,568,28.52112676,0.352112676,0.88028169,70.24647887
Sinaloa,224,5,15,389,633,35.38704581,0.789889415,2.369668246,61.45339652
Sonora,184,2,8,119,313,58.78594249,0.638977636,2.555910543,38.01916933
Tabasco,159,9,5,117,290,54.82758621,3.103448276,1.724137931,40.34482759
Tamaulipas,217,4,6,104,331,65.55891239,1.208459215,1.812688822,31.41993958
Tlaxcala,55,2,0,22,79,69.62025316,2.53164557,0,27.84810127
Veracruz de Ignacio de la Llave,505,18,12,233,768,65.75520833,2.34375,1.5625,30.33854167
Yucatán,370,4,5,80,459,80.61002179,0.871459695,1.089324619,17.4291939
Zacatecas,90,1,0,25,116,77.5862069,0.862068966,0,21.55172414
Total,10370,253,307,4821,15751,65.83708971,1.606247222,1.949082598,30.60758047
