Estado,bolillo,birote,TOTAL,bolillo_FR,birote_FR
Aguascalientes,83,14,97,85.56701031,14.43298969
Baja California,85,41,126,67.46031746,32.53968254
Baja California Sur,19,11,30,63.33333333,36.66666667
Campeche,16,0,16,100,0
Chiapas,49,0,49,100,0
Chihuahua,66,8,74,89.18918919,10.81081081
Ciudad de México,1630,93,1723,94.60243761,5.397562391
Coahuila de Zaragoza,48,3,51,94.11764706,5.882352941
Colima,40,0,40,100,0
Durango,27,1,28,96.42857143,3.571428571
México,716,34,750,95.46666667,4.533333333
Guanajuato,239,9,248,96.37096774,3.629032258
Guerrero,192,0,192,100,0
Hidalgo,72,6,78,92.30769231,7.692307692
Jalisco,414,422,836,49.5215311,50.4784689
Michoacán de Ocampo,97,4,101,96.03960396,3.96039604
Morelos,84,17,101,83.16831683,16.83168317
Nayarit,28,7,35,80,20
Nuevo León,410,17,427,96.01873536,3.981264637
Oaxaca,69,3,72,95.83333333,4.166666667
Puebla,154,4,158,97.46835443,2.53164557
Querétaro,199,8,207,96.1352657,3.8647343
Quintana Roo,122,4,126,96.82539683,3.174603175
San Luis Potosí,131,10,141,92.90780142,7.092198582
Sinaloa,85,7,92,92.39130435,7.608695652
Sonora,54,81,135,40,60
Tabasco,86,0,86,100,0
Tamaulipas,81,4,85,95.29411765,4.705882353
Tlaxcala,30,1,31,96.77419355,3.225806452
Veracruz de Ignacio de la Llave,188,1,189,99.47089947,0.529100529
Yucatán,67,2,69,97.10144928,2.898550725
Zacatecas,46,1,47,97.87234043,2.127659574
Total,5627,813,6440,87.3757764,12.6242236
