Estado,lentes,anteojo,gafas,espejuelos,TOTAL,lentes_FR,anteojo_FR,gafas_FR,espejuelos_FR
Aguascalientes,183,1,11,0,195,93.84615385,0.512820513,5.641025641,0
Baja California,490,12,20,1,523,93.69024857,2.294455067,3.824091778,0.191204589
Baja California Sur,166,4,12,0,182,91.20879121,2.197802198,6.593406593,0
Campeche,150,0,4,0,154,97.4025974,0,2.597402597,0
Chiapas,237,21,12,0,270,87.77777778,7.777777778,4.444444444,0
Chihuahua,363,28,20,0,411,88.32116788,6.812652068,4.866180049,0
Ciudad de México,3365,132,320,4,3821,88.06595132,3.454593038,8.374771002,0.104684638
Coahuila de Zaragoza,391,7,27,0,425,92,1.647058824,6.352941176,0
Colima,85,3,4,0,92,92.39130435,3.260869565,4.347826087,0
Durango,127,1,7,0,135,94.07407407,0.740740741,5.185185185,0
México,1727,62,134,1,1924,89.76091476,3.222453222,6.964656965,0.051975052
Guanajuato,572,10,29,3,614,93.15960912,1.628664495,4.723127036,0.488599349
Guerrero,194,5,10,0,209,92.82296651,2.392344498,4.784688995,0
Hidalgo,238,4,44,0,286,83.21678322,1.398601399,15.38461538,0
Jalisco,1301,24,66,0,1391,93.52983465,1.725377426,4.744787922,0
Michoacán de Ocampo,262,7,19,0,288,90.97222222,2.430555556,6.597222222,0
Morelos,225,6,29,0,260,86.53846154,2.307692308,11.15384615,0
Nayarit,92,2,3,0,97,94.84536082,2.06185567,3.092783505,0
Nuevo León,1838,24,57,1,1920,95.72916667,1.25,2.96875,0.052083333
Oaxaca,169,7,26,0,202,83.66336634,3.465346535,12.87128713,0
Puebla,683,28,119,1,831,82.19013237,3.369434416,14.32009627,0.120336943
Querétaro,566,16,51,1,634,89.27444795,2.523659306,8.044164038,0.157728707
Quintana Roo,592,15,40,2,649,91.21725732,2.311248074,6.163328197,0.30816641
San Luis Potosí,344,10,18,0,372,92.47311828,2.688172043,4.838709677,0
Sinaloa,629,4,17,1,651,96.62058372,0.614439324,2.611367127,0.153609831
Sonora,771,11,56,1,839,91.89511323,1.311084625,6.674612634,0.119189511
Tabasco,450,4,26,1,481,93.55509356,0.831600832,5.405405405,0.207900208
Tamaulipas,472,3,19,0,494,95.5465587,0.607287449,3.846153846,0
Tlaxcala,75,1,13,0,89,84.26966292,1.123595506,14.60674157,0
Veracruz de Ignacio de la Llave,869,19,69,6,963,90.23883697,1.973001038,7.165109034,0.62305296
Yucatán,746,8,31,0,785,95.03184713,1.01910828,3.949044586,0
Zacatecas,167,3,10,0,180,92.77777778,1.666666667,5.555555556,0
Total,18539,482,1323,23,20367,91.02469681,2.366573379,6.495802033,0.112927775
