Estado,hormiga,asquel,asquilin,TOTAL,hormiga_FR,asquel_FR,asquilin_FR
Aguascalientes,35,0,0,35,100,0,0
Baja California,91,1,0,92,98.91304348,1.086956522,0
Baja California Sur,27,0,0,27,100,0,0
Campeche,42,0,0,42,100,0,0
Chiapas,58,0,0,58,100,0,0
Chihuahua,56,1,0,57,98.24561404,1.754385965,0
Ciudad de México,567,2,0,569,99.64850615,0.351493849,0
Coahuila de Zaragoza,47,18,0,65,72.30769231,27.69230769,0
Colima,14,0,1,15,93.33333333,0,6.666666667
Durango,18,7,0,25,72,28,0
México,260,0,0,260,100,0,0
Guanajuato,82,0,0,82,100,0,0
Guerrero,53,0,0,53,100,0,0
Hidalgo,31,0,0,31,100,0,0
Jalisco,192,0,17,209,91.86602871,0,8.133971292
Michoacán de Ocampo,35,0,0,35,100,0,0
Morelos,68,0,0,68,100,0,0
Nayarit,11,0,0,11,100,0,0
Nuevo León,284,2,0,286,99.3006993,0.699300699,0
Oaxaca,59,0,0,59,100,0,0
Puebla,129,0,0,129,100,0,0
Querétaro,126,0,0,126,100,0,0
Quintana Roo,101,0,0,101,100,0,0
San Luis Potosí,56,0,0,56,100,0,0
Sinaloa,90,0,0,90,100,0,0
Sonora,131,0,0,131,100,0,0
Tabasco,94,0,0,94,100,0,0
Tamaulipas,87,0,0,87,100,0,0
Tlaxcala,17,0,0,17,100,0,0
Veracruz de Ignacio de la Llave,180,0,0,180,100,0,0
Yucatán,140,0,0,140,100,0,0
Zacatecas,15,0,0,15,100,0,0
Total,3196,31,18,3245,98.48998459,0.955315871,0.554699538
