Estado,esquite,trolelote,chasca,elote en vaso,vasolote,elote feliz,coctel de elote,elote desgranado,TOTAL,esquite_FR,trolelote_FR,chasca_FR,elote en vaso_FR,vasolote_FR,elote feliz_FR,coctel de elote_FR,elote desgranado_FR
Aguascalientes,19,5,203,0,0,0,0,0,227,8.370044053,2.202643172,89.42731278,0,0,0,0,0
Baja California,45,2,2,0,2,0,0,0,51,88.23529412,3.921568627,3.921568627,0,3.921568627,0,0,0
Baja California Sur,9,0,4,0,0,0,0,0,13,69.23076923,0,30.76923077,0,0,0,0,0
Campeche,77,3,3,0,0,0,0,0,83,92.77108434,3.614457831,3.614457831,0,0,0,0,0
Chiapas,71,1,0,0,0,0,0,0,72,98.61111111,1.388888889,0,0,0,0,0,0
Chihuahua,39,0,5,1,1,0,0,0,46,84.7826087,0,10.86956522,2.173913043,2.173913043,0,0,0
Ciudad de México,951,16,24,0,6,0,0,0,997,95.38615848,1.604814443,2.407221665,0,0.601805416,0,0,0
Coahuila de Zaragoza,27,2,1,0,0,0,0,1,31,87.09677419,6.451612903,3.225806452,0,0,0,0,3.225806452
Colima,14,0,7,0,0,0,0,0,21,66.66666667,0,33.33333333,0,0,0,0,0
Durango,3,0,0,0,0,0,0,0,3,100,0,0,0,0,0,0,0
México,485,7,13,0,4,0,0,0,509,95.2848723,1.37524558,2.554027505,0,0.785854617,0,0,0
Guanajuato,96,1,8,0,3,0,0,0,108,88.88888889,0.925925926,7.407407407,0,2.777777778,0,0,0
Guerrero,89,0,0,0,0,0,0,0,89,100,0,0,0,0,0,0,0
Hidalgo,138,3,0,0,0,0,0,0,141,97.87234043,2.127659574,0,0,0,0,0,0
Jalisco,142,2,33,0,0,0,0,0,177,80.2259887,1.129943503,18.6440678,0,0,0,0,0
Michoacán de Ocampo,38,0,0,0,34,0,0,0,72,52.77777778,0,0,0,47.22222222,0,0,0
Morelos,68,0,1,0,1,0,0,0,70,97.14285714,0,1.428571429,0,1.428571429,0,0,0
Nayarit,6,0,0,1,0,0,0,0,7,85.71428571,0,0,14.28571429,0,0,0,0
Nuevo León,110,16,6,5,3,0,0,1,141,78.0141844,11.34751773,4.255319149,3.546099291,2.127659574,0,0,0.709219858
Oaxaca,116,0,3,0,1,0,0,0,120,96.66666667,0,2.5,0,0.833333333,0,0,0
Puebla,340,3,3,1,0,0,0,0,347,97.98270893,0.864553314,0.864553314,0.288184438,0,0,0,0
Querétaro,197,4,7,1,2,0,0,0,211,93.36492891,1.895734597,3.317535545,0.473933649,0.947867299,0,0,0
Quintana Roo,254,0,2,0,0,0,0,0,256,99.21875,0,0.78125,0,0,0,0,0
San Luis Potosí,30,13,1,0,0,0,0,0,44,68.18181818,29.54545455,2.272727273,0,0,0,0,0
Sinaloa,209,3,2,0,0,0,0,0,214,97.6635514,1.401869159,0.934579439,0,0,0,0,0
Sonora,34,0,2,0,0,0,1,0,37,91.89189189,0,5.405405405,0,0,0,2.702702703,0
Tabasco,178,1,0,0,0,0,0,0,179,99.44134078,0.558659218,0,0,0,0,0,0
Tamaulipas,43,55,2,0,0,0,0,0,100,43,55,2,0,0,0,0,0
Tlaxcala,21,0,0,0,0,0,0,0,21,100,0,0,0,0,0,0,0
Veracruz de Ignacio de la Llave,532,12,1,0,0,0,0,0,545,97.6146789,2.201834862,0.183486239,0,0,0,0,0
Yucatán,341,2,2,0,0,0,0,0,345,98.84057971,0.579710145,0.579710145,0,0,0,0,0
Zacatecas,20,1,7,0,0,0,0,0,28,71.42857143,3.571428571,25,0,0,0,0,0
Total,4742,152,342,9,57,0,1,2,5305,89.38737041,2.865221489,6.446748351,0.169651272,1.074458058,0,0.018850141,0.037700283
