Estado,mosquito,zancudo,chaquiste,chanquiste,moyote,TOTAL,mosquito_FR,zancudo_FR,chaquiste_FR,chanquiste_FR,moyote_FR
Aguascalientes,50,32,0,0,1,83,60.24096386,38.55421687,0,0,1.204819277
Baja California,118,12,0,0,0,130,90.76923077,9.230769231,0,0,0
Baja California Sur,54,15,0,0,1,70,77.14285714,21.42857143,0,0,1.428571429
Campeche,44,0,3,0,0,47,93.61702128,0,6.382978723,0,0
Chiapas,64,34,1,0,1,100,64,34,1,0,1
Chihuahua,69,18,0,0,82,169,40.82840237,10.65088757,0,0,48.52071006
Ciudad de México,751,97,1,0,15,864,86.9212963,11.22685185,0.115740741,0,1.736111111
Coahuila de Zaragoza,95,52,1,0,30,178,53.37078652,29.21348315,0.561797753,0,16.85393258
Colima,22,14,0,0,0,36,61.11111111,38.88888889,0,0,0
Durango,48,7,0,0,19,74,64.86486486,9.459459459,0,0,25.67567568
México,382,47,5,0,2,436,87.6146789,10.77981651,1.146788991,0,0.458715596
Guanajuato,186,80,0,0,1,267,69.66292135,29.96254682,0,0,0.374531835
Guerrero,78,24,0,0,0,102,76.47058824,23.52941176,0,0,0
Hidalgo,71,13,0,0,0,84,84.52380952,15.47619048,0,0,0
Jalisco,543,224,1,0,5,773,70.2457956,28.97800776,0.129366106,0,0.64683053
Michoacán de Ocampo,130,23,0,0,0,153,84.96732026,15.03267974,0,0,0
Morelos,69,11,0,0,4,84,82.14285714,13.0952381,0,0,4.761904762
Nayarit,57,15,1,0,1,74,77.02702703,20.27027027,1.351351351,0,1.351351351
Nuevo León,225,263,1,0,13,502,44.82071713,52.39043825,0.199203187,0,2.589641434
Oaxaca,84,38,3,0,1,126,66.66666667,30.15873016,2.380952381,0,0.793650794
Puebla,176,17,2,0,0,195,90.25641026,8.717948718,1.025641026,0,0
Querétaro,149,37,1,0,0,187,79.67914439,19.78609626,0.534759358,0,0
Quintana Roo,478,29,0,0,2,509,93.90962672,5.697445972,0,0,0.392927308
San Luis Potosí,73,84,0,0,0,157,46.49681529,53.50318471,0,0,0
Sinaloa,127,33,0,0,1,161,78.88198758,20.49689441,0,0,0.621118012
Sonora,167,100,0,0,0,267,62.54681648,37.45318352,0,0,0
Tabasco,216,3,12,0,0,231,93.50649351,1.298701299,5.194805195,0,0
Tamaulipas,71,48,1,0,1,121,58.67768595,39.66942149,0.826446281,0,0.826446281
Tlaxcala,13,1,0,0,0,14,92.85714286,7.142857143,0,0,0
Veracruz de Ignacio de la Llave,244,32,9,0,1,286,85.31468531,11.18881119,3.146853147,0,0.34965035
Yucatán,235,9,3,0,1,248,94.75806452,3.629032258,1.209677419,0,0.403225806
Zacatecas,38,18,0,0,0,56,67.85714286,32.14285714,0,0,0
Total,5127,1430,45,0,182,6784,75.57488208,21.07900943,0.663325472,0,2.682783019
