Estado,rasguño,arañazo,TOTAL,rasguño_FR,arañazo_FR
Aguascalientes,11,1,12,91.66666667,8.333333333
Baja California,45,5,50,90,10
Baja California Sur,1,0,1,100,0
Campeche,3,1,4,75,25
Chiapas,4,1,5,80,20
Chihuahua,12,1,13,92.30769231,7.692307692
Ciudad de México,94,28,122,77.04918033,22.95081967
Coahuila de Zaragoza,4,2,6,66.66666667,33.33333333
Colima,3,1,4,75,25
Durango,2,0,2,100,0
México,49,15,64,76.5625,23.4375
Guanajuato,12,2,14,85.71428571,14.28571429
Guerrero,5,2,7,71.42857143,28.57142857
Hidalgo,13,1,14,92.85714286,7.142857143
Jalisco,35,19,54,64.81481481,35.18518519
Michoacán de Ocampo,7,0,7,100,0
Morelos,7,1,8,87.5,12.5
Nayarit,0,2,2,0,100
Nuevo León,51,14,65,78.46153846,21.53846154
Oaxaca,5,2,7,71.42857143,28.57142857
Puebla,12,5,17,70.58823529,29.41176471
Querétaro,18,3,21,85.71428571,14.28571429
Quintana Roo,14,2,16,87.5,12.5
San Luis Potosí,6,1,7,85.71428571,14.28571429
Sinaloa,6,0,6,100,0
Sonora,19,6,25,76,24
Tabasco,6,4,10,60,40
Tamaulipas,15,1,16,93.75,6.25
Tlaxcala,4,1,5,80,20
Veracruz de Ignacio de la Llave,20,3,23,86.95652174,13.04347826
Yucatán,3,6,9,33.33333333,66.66666667
Zacatecas,3,1,4,75,25
Total,489,131,620,78.87096774,21.12903226
