Estado,queso Oaxaca,quesillo,queso de hebra,TOTAL,queso Oaxaca_FR,quesillo_FR,queso de hebra_FR
Aguascalientes,0,5,0,5,0,100,0
Baja California,22,16,0,38,57.89473684,42.10526316,0
Baja California Sur,3,3,1,7,42.85714286,42.85714286,14.28571429
Campeche,4,3,7,14,28.57142857,21.42857143,50
Chiapas,11,40,3,54,20.37037037,74.07407407,5.555555556
Chihuahua,6,7,0,13,46.15384615,53.84615385,0
Ciudad de México,182,233,7,422,43.12796209,55.21327014,1.658767773
Coahuila de Zaragoza,12,5,0,17,70.58823529,29.41176471,0
Colima,4,2,0,6,66.66666667,33.33333333,0
Durango,2,2,0,4,50,50,0
México,76,105,5,186,40.86021505,56.4516129,2.688172043
Guanajuato,19,22,0,41,46.34146341,53.65853659,0
Guerrero,18,5,0,23,78.26086957,21.73913043,0
Hidalgo,15,6,0,21,71.42857143,28.57142857,0
Jalisco,40,32,5,77,51.94805195,41.55844156,6.493506494
Michoacán de Ocampo,6,5,1,12,50,41.66666667,8.333333333
Morelos,19,12,2,33,57.57575758,36.36363636,6.060606061
Nayarit,0,4,0,4,0,100,0
Nuevo León,22,34,13,69,31.88405797,49.27536232,18.84057971
Oaxaca,45,259,5,309,14.5631068,83.81877023,1.618122977
Puebla,25,93,4,122,20.49180328,76.2295082,3.278688525
Querétaro,28,19,5,52,53.84615385,36.53846154,9.615384615
Quintana Roo,25,21,9,55,45.45454545,38.18181818,16.36363636
San Luis Potosí,1,3,0,4,25,75,0
Sinaloa,23,4,1,28,82.14285714,14.28571429,3.571428571
Sonora,17,14,0,31,54.83870968,45.16129032,0
Tabasco,7,10,22,39,17.94871795,25.64102564,56.41025641
Tamaulipas,10,5,3,18,55.55555556,27.77777778,16.66666667
Tlaxcala,1,8,1,10,10,80,10
Veracruz de Ignacio de la Llave,18,20,57,95,18.94736842,21.05263158,60
Yucatán,23,73,17,113,20.3539823,64.60176991,15.04424779
Zacatecas,1,11,0,12,8.333333333,91.66666667,0
Total,685,1081,168,1934,35.4188211,55.89451913,8.686659772
