Estado,legaña,lagaña,chinguiña,TOTAL,legaña_FR,lagaña_FR,chinguiña_FR
Aguascalientes,1,2,0,3,33.33333333,66.66666667,0
Baja California,0,8,1,9,0,88.88888889,11.11111111
Baja California Sur,0,1,0,1,0,100,0
Campeche,0,1,0,1,0,100,0
Chiapas,0,2,0,2,0,100,0
Chihuahua,0,14,0,14,0,100,0
Ciudad de México,1,57,16,74,1.351351351,77.02702703,21.62162162
Coahuila de Zaragoza,0,5,0,5,0,100,0
Colima,0,1,0,1,0,100,0
Durango,0,4,0,4,0,100,0
México,0,26,39,65,0,40,60
Guanajuato,0,15,1,16,0,93.75,6.25
Guerrero,0,0,0,0,0,0,0
Hidalgo,0,4,2,6,0,66.66666667,33.33333333
Jalisco,2,21,0,23,8.695652174,91.30434783,0
Michoacán de Ocampo,0,2,0,2,0,100,0
Morelos,0,0,0,0,0,0,0
Nayarit,0,2,0,2,0,100,0
Nuevo León,1,37,0,38,2.631578947,97.36842105,0
Oaxaca,0,0,0,0,0,0,0
Puebla,0,8,9,17,0,47.05882353,52.94117647
Querétaro,3,8,3,14,21.42857143,57.14285714,21.42857143
Quintana Roo,0,8,0,8,0,100,0
San Luis Potosí,0,5,0,5,0,100,0
Sinaloa,2,8,0,10,20,80,0
Sonora,0,14,0,14,0,100,0
Tabasco,1,7,0,8,12.5,87.5,0
Tamaulipas,0,6,0,6,0,100,0
Tlaxcala,0,0,1,1,0,0,100
Veracruz de Ignacio de la Llave,0,13,3,16,0,81.25,18.75
Yucatán,1,7,0,8,12.5,87.5,0
Zacatecas,0,2,1,3,0,66.66666667,33.33333333
Total,12,288,76,376,3.191489362,76.59574468,20.21276596
